abgà,absite,abwehre,achsle,aeid,aelterer,affe,ah,aha,aku,alle,allei,alleinig,allem,alles,alleweg,allewil,als,also,alt,alter,am,amerika,an,and,andere,andre,ane,arm,as,ass,awer,aweschlucke,az,aüge,bawele,bedankt,beide,bekanntschaft,bekehre,bekunnsch,bekämme,beste,bett,bewise,bi,bien,bin,bis,bisch,bliwe,bode,bolliwàr,brief,bringe,brüchsch,brücht,bunde,burzwiller,burzwillerer,bàwela,bàwele,bös,büe,damen,danke,das,de,dem,denkt,denn,dere,derf,derfir,dergege,dermit,derno,dert,derwilst,derzwische,derzüe,di,dich,die,ding,dings,dir,do,doch,dohi,doochder,dr,dra,drei,drin,drissig,drum,drüf,dummheiten,dunkes,dur,duss,dà,dàre,dü,düme,eander,eb,ebbe,ebber,ebbes,eh,ehen,ehenremann,ehremann,eigentlig,eigeschafte,eim,einedrissig,einer,eithüen,em,eme,emol,enander,ene,enfin,er,ere,erwe,es,eso,esse,est,ewe,express,eüch,eüer,eürer,fahre,fahrt,falla,falle,fallt,fechte,feinde,ferig,fil,fir,fire,firtüech,fohr,frinde,frisch,froh,fräide,furt,fæhler,gald,gang,gange,ganz,ganze,gar,garantiera,gaül,geduld,geh,geht,geje,gejeteil,gemachti,gen,genüe,genüeg,gern,gi,gib,giengsch,glaübt,glaüwe,gli,glich,gliche,glicker,glöüwe,glückliche,glüeck,gradi,grinne,grosse,grààtscht,gsi,guten,ha,hals,halte,halunk,halwer,hand,handelt,hans,has,hasch,hat,he,hebt,heim,heimlich,hein,heisse,her,herr,herzhaft,hinte,hinter,hiroth,hirothe,hirotherei,hit,hoffe,hofte,homme,hool,hunger,hà,hàn,hànd,hàrzhaft,hätt,hätte,höche,höre,hört,hüet,iblose,ibunde,ich,idee,igeh,ihr,ihre,il,im,in,ironisch,is,isch,itrete,iwer,iwerrede,iwilligung,iz,je,jeder,jeher,jetz,jo,johr,jungi,jà,ka,kasch,kehrt,kei,kein,kenne,klopft,knäpf,kum,kumedi,kumme,kummee,kummeee,kummeeemm,kummeeemmod,kummeeennt,kummennt,kunnt,känne,kännsch,kännt,kännte,lab,lache,langer,le,lebt,ledig,legeheit,legt,lehn,leid,leider,letschte,liawe,lide,ligt,lipft,lit,litte,lo,lose,loss,losst,lunzi,làbtig,längste,lüeg,lüege,lüsgt,mach,mache,machsch,macht,madamen,marti,me,meh,mehr,meinen,meinsch,meint,melde,mensch,mi,mich,michel,miesse,mim,mir,mit,mitbringe,mitgnu,mitspiele,mittle,monete,mr,mænner,mögli,müesch,müess,müeth,nach,nachbar,name,nander,nase,nastüech,nastüechzipfel,natirlig,ne,nei,nennt,nie,nieme,niemols,niene,nimmig,nimmt,nit,nitt,noch,nochher,nodenke,nogange,nur,oder,oh,ohne,oho,ohr,owe,paar,papegàie,parepli,platz,position,prawiere,profitiere,re,rechte,rechtee,recitiere,regiment,regisseur,rem,rendez,rich,richt,richtig,ricke,rieft,ringer,rlang,ruck,ruckg,ruckkehrt,rüehig,sa,saal,sach,sag,sage,sang,scandal,scene,schaü,scheit,schich,schiebt,schieler,schiewe,schiff,schiffbruch,schine,schint,schisse,schlechten,schleppt,scho,schracke,schriwe,schuldige,schwiege,schwind,schwore,schwàtzt,schön,se,secher,sege,seig,selwer,seppi,si,sich,sie,sieht,sim,sin,sine,sinke,sitzt,so,solle,sott,spielen,spielenn,spielennnn,spielt,spring,sproch,stampft,stande,steh,steht,stein,stilli,storwe,streckt,strogoff,stöcke,stüehl,suche,suhn,sunscht,sàh,sàisch,sàit,sàlle,süecht,tag,tage,tante,ter,theater,theaterlis,thàt,thüe,thüesch,thüet,thüre,tiens,tit,todfind,toni,tramwày,traü,traüe,traümt,trumpier,um,umme,ummegange,un,und,underbrecht,unrecht,uns,unser,untergange,unterstitzt,unterstützt,ursele,vadder,velicht,verbute,vergalte,vergange,verhirothe,verlege,verliebte,verliert,verlo,verneigt,verschmutze,verschnappt,verstecke,verwandelt,verzeih,verzählt,viel,viele,vo,vom,vor,voraus,vorhang,vorz,vous,wache,waie,warte,was,we,wege,weh,weisch,weiss,welle,welt,wem,wenig,wenn,wer,werde,werfe,wie,wieder,wil,wilde,will,wird,wirsch,wiss,wisse,witt,wo,woge,wohler,wohrer,woorte,worum,wott,wuche,wunderliger,wàhrend,wàie,wàlder,wànde,wànn,wàr,wàre,zahlt,zehl,zeig,zitt,ziwelewàie,zornig,zulle,zwanzig,zwei,züe,züem,àmme,ärgster,ça,çà,était,üf,üferzoge,üfopfre,üs,üse,üsg,üsspricht,üsweg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12952686192337132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16280154361032098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11319530280976002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17064785906181842,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18025097306197682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15042097638673055,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.2895227552122866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13671613273027694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16280154361032098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15616757842125475,0.0,0.0,0.18025097306197682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.11552211748341885,0.0,0.0,0.0,0.0,0.0,0.0,0.10497312830301811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895227552122866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21008096973722312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926315402855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233684329349163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17064785906181842,0.0,0.15616757842125475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17064785906181842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16231573807215913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21008096973722312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18025097306197682,0.0,0.2467368658698326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04850749153008108,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.0,0.033199783135773764,0.0,0.0,0.05653506711808822,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.0,0.04202638886691406,0.0,0.0,0.04381166083939233,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.0,0.1555177092821984,0.0,0.0,0.05278484774001536,0.0,0.0,0.05183923642739947,0.0,0.09959934940732129,0.0,0.04381166083939233,0.0,0.0,0.05183923642739947,0.0,0.05653506711808822,0.0,0.05653506711808822,0.0,0.10367847285479893,0.0,0.0,0.04202638886691406,0.0,0.0,0.0,0.05653506711808822,0.05653506711808822,0.0,0.06639956627154753,0.0,0.05653506711808822,0.05653506711808822,0.14032161345173016,0.05653506711808822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545674722456879,0.0,0.0,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.09701498306016217,0.05653506711808822,0.0,0.0,0.0,0.0,0.09138625049865536,0.0,0.0,0.19402996612032433,0.04202638886691406,0.0,0.05183923642739947,0.0,0.16960520135426466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.06971416631970785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04850749153008108,0.0,0.11307013423617644,0.11307013423617644,0.0,0.04850749153008108,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.12143974782622187,0.04381166083939233,0.0,0.0,0.05183923642739947,0.0,0.0,0.05183923642739947,0.0,0.0,0.0,0.0,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07823166029740715,0.06217650912139288,0.0,0.0,0.0,0.0,0.0918463788289393,0.0,0.022133676881158037,0.0,0.0,0.06490468070813364,0.05653506711808822,0.04850749153008108,0.04381166083939233,0.0,0.0,0.0,0.0,0.04592318941446965,0.0,0.05653506711808822,0.05653506711808822,0.0,0.0,0.0,0.10367847285479893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.22434507911544654,0.05183923642739947,0.0,0.04047991594207396,0.0,0.0,0.06971416631970785,0.10199643983672078,0.0,0.0,0.23374113921809822,0.05653506711808822,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.0,0.09959934940732129,0.0,0.039115830148703574,0.05183923642739947,0.0,0.0,0.0,0.0,0.04592318941446965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.10367847285479893,0.05653506711808822,0.05653506711808822,0.0,0.0,0.04381166083939233,0.0,0.11307013423617644,0.0,0.0,0.0,0.04592318941446965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10367847285479893,0.0,0.04850749153008108,0.0,0.05653506711808822,0.04850749153008108,0.04850749153008108,0.0,0.04202638886691406,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.17428541579926965,0.0,0.05653506711808822,0.0,0.0,0.0,0.0545674722456879,0.0,0.0,0.0,0.0,0.0,0.056498814353628565,0.0,0.0,0.0,0.09701498306016217,0.0,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.07823166029740715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558274261453988,0.04202638886691406,0.0,0.0,0.0,0.03679179389594258,0.04047991594207396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04381166083939233,0.11307013423617644,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04850749153008108,0.0,0.0,0.0,0.0,0.04202638886691406,0.0,0.0,0.0,0.04850749153008108,0.05183923642739947,0.08095983188414792,0.0,0.05653506711808822,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039115830148703574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.03679179389594258,0.05183923642739947,0.0,0.0,0.0,0.0,0.09959934940732129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.09138625049865536,0.0,0.0,0.0,0.0,0.22614026847235288,0.14552247459024326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04202638886691406,0.0,0.05653506711808822,0.0,0.0,0.0,0.11307013423617644,0.04592318941446965,0.0,0.11307013423617644,0.0,0.0,0.0,0.05653506711808822,0.11307013423617644,0.0,0.0,0.0,0.05653506711808822,0.0,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.1528832385531378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.0,0.0,0.0,0.0,0.0,0.1431363410055408,0.0,0.04047991594207396,0.0,0.0,0.0,0.0,0.0,0.0,0.05183923642739947,0.03679179389594258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09701498306016217,0.10457124947956177,0.0,0.0,0.0,0.0,0.07579122765292504,0.0,0.0,0.06639956627154753,0.0,0.0,0.0,0.0,0.0,0.06639956627154753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04381166083939233,0.11307013423617644,0.0,0.16960520135426466,0.0,0.04202638886691406,0.0,0.0,0.0,0.0,0.05653506711808822,0.0,0.07579122765292504,0.0,0.0,0.0,0.05183923642739947,0.0,0.0,0.03399881327890693,0.05653506711808822,0.0,0.0,0.04202638886691406,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24402853567448302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36167116744920447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20743301718692247,0.0,0.0,0.0,0.0,0.0,0.3222941175573185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227321943235246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38858265483277304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3401827597755097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503888538659882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19912230136393164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29093332650276826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26276914813686236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520616244682108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31091612906501487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13275112852989782,0.0,0.0,0.19463936464646334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15576766261190586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19912230136393164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390803074309207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520616244682108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390803074309207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23460496977095652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390803074309207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520616244682108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
