Id_block,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
48,0.4565775789554337,0.551247062347045,0.5326501987449809,0.0,0.0,0.31007448344413147,0.0,0.11325,0.0,0.29100000000000004,0.13275
49,0.6433080593212352,0.4007185533336768,0.5194941954124133,0.0,0.24485515419257617,0.085,0.13975,0.0,0.0,0.0,0.1589168969930919
50,0.4991578195222203,0.5632955745588373,0.6677710949650947,0.23922478032604372,0.16386000766992304,0.18803535694699366,0.1355433750499791,0.2603725597444869,0.12426546552654531,0.16399999999999998,0.1172
51,0.615261125673647,0.514118953877042,0.6244290109985309,0.057444444444444444,0.07033333333333332,0.015666666666666666,0.14077777777777778,0.0,0.05211111111111111,0.1918888888888889,0.17099999999999999
52,0.6531441802550967,0.4876742178425939,0.5867501625475411,0.0,0.0,0.0,0.18874337504997912,0.1,0.0,0.40731560986697535,0.0
53,0.6847251715391498,0.45590802342419523,0.6556450888445812,0.0,0.02725,0.0,0.2350053173192885,0.0235,0.12460544769849967,0.5582729586597702,0.3254195067123101
54,0.5670175217060299,0.5183229817820018,0.5416101711867117,0.21568667083781526,0.1452435994551711,0.18381020725463001,0.09383333333333334,0.19093424406164572,0.0365,0.20061286376633988,0.2674445979953946
55,0.7143297355599708,0.4097889221241356,0.6091574665050359,0.0,0.0,0.0,0.24999999999999997,0.0,0.0,0.0,0.38388919599078913
56,0.8314239121261181,0.4880699866370074,0.668420113549351,0.0,0.0,0.0,0.5471541215496284,0.0,0.0,0.4411668169879226,0.2862929198753345
57,0.7077028728964263,0.5652234424799925,0.6707191473063353,0.2187212918301446,0.2729815910176593,0.37320849473271134,0.344,0.3219316957499904,0.0,0.3595,0.0
58,0.752564036067321,0.5952637084347183,0.6593786066158551,0.1093606459150723,0.13649079550882964,0.18660424736635567,0.4047765942082838,0.1609658478749952,0.0,0.28291416892354493,0.13875
59,0.6781335991673189,0.5519408344244339,0.5579271055152253,0.08748851673205785,0.10919263640706371,0.14928339789308454,0.38784500880410755,0.24757267829999616,0.0782,0.24246202969993697,0.12751953753309023
