Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
0,peine,0.089865585209381,0.5125145851510579,0.2910869062171985,0.484,0.0,0.453,0.0,0.469,0.0,0.0,0.0
0,venir,0.5077636222456227,0.4247459181933735,0.4697888562405837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633
0,demander,0.5606127455718558,0.5636228217992904,0.6897363415893938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586
0,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
0,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
1,malchance,0.2770783608019265,0.7099555470793927,0.4273883030947415,0.4699999999999999,0.398,0.487595850994891,0.016,0.6252148599588602,0.0,0.0,0.0
1,maître,0.6952346319440735,0.4247508854164138,0.7350689841819658,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0
1,rendu,0.2230422129260622,0.342772964902632,0.1922694137745675,0.0,0.0,0.0,0.0,0.3839093489403264,0.0,0.0,0.0
1,furieux,0.1406701938308152,0.8473613258232576,0.5160751078541428,0.8241200250268917,0.4734615967310265,0.6059133598894961,0.0,0.4843814975700701,0.0,0.0,0.0
1,reçu,0.6634883033052841,0.5250221118211815,0.6400411110603296,0.0,0.0,0.0,0.287,0.0,0.258,0.0,0.641
1,médaille,0.8368812844449147,0.5322991105238454,0.7271556328833099,0.0,0.0,0.0,0.424,0.0,0.289,0.461,0.477
2,vite,0.711452961709516,0.7425271751862236,0.6890049728025679,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.0
2,sinon,0.4845334547978399,0.4239390662784612,0.4867601811677478,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0
2,assez,0.6823186826674351,0.400059253369866,0.6251525417977639,0.0,0.0,0.0,0.469,0.0,0.0,0.4848740544044536,0.414
2,oui,0.731982479119855,0.6402102505617395,0.4381250409322417,0.0,0.0,0.0,0.7279999999999999,0.0,0.0,0.0,0.0
2,congé,0.833648051626561,0.4721293241233464,0.6076705148722958,0.0,0.0,0.0,0.6550129575295038,0.0,0.0,0.0,0.6843790034020676
3,passé,0.5066420855650411,0.4164917784013202,0.4324469683076005,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0
3,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.727,0.0
3,bien,0.8496361744517235,0.4974327231143904,0.6809413474879623,0.0,0.0,0.0,0.6777168752498955,0.0,0.0,0.0,0.0
4,fête,0.9555242406029352,0.7931449203648278,0.7191660619415928,0.0,0.0,0.0,0.8602685700229779,0.0,0.539,0.523,0.656
4,racaille,0.2481140957863258,0.5825536709731174,0.3900433634685799,0.719,0.789,0.672,0.0,0.0,0.0,0.0,0.0
4,vivant,0.8722145007409952,0.6432717606026254,0.7245442715500034,0.0,0.0,0.0,0.4126958620011229,0.0,0.0,0.5,0.461
5,bizarre,0.2888282606457322,0.7088766993324631,0.4618208559354899,0.0,0.5191258470785105,0.484,0.0,0.0,0.6147482762943179,0.0,0.0
5,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0.0
5,parfait,0.98,0.471,0.87,0.0,0.0,0.0,0.719,0.0,0.0,0.539,0.445
5,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.727,0.0
5,feu,0.4870323165877749,0.42071257140188,0.4489729183251023,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
5,livre,0.57,0.337,0.443,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,personne,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
6,jouer,0.6460709338525759,0.6919089359073894,0.5152858817897907,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.57
6,gâté,0.1303478492207716,0.6463868407618831,0.3445780162780463,0.591,0.6303834107868896,0.734,0.0,0.6774046396425873,0.0,0.0,0.391
6,fête,0.9555242406029352,0.7931449203648278,0.7191660619415928,0.0,0.0,0.0,0.8602685700229779,0.0,0.539,0.523,0.656
6,joie,0.8651395651417643,0.6943132135558329,0.655175135841269,0.0,0.0,0.0,0.8315780711739423,0.0,0.0,0.0,0.0
6,toujours,0.6072958770588837,0.5177207338847446,0.5992506591513675,0.0,0.0,0.0,0.0,0.0,0.0,0.617,0.0
7,opinion,0.6685942372350175,0.4053278203618584,0.5668765074610566,0.147,0.141,0.328,0.359,0.172,0.359,0.518,0.555
7,demander,0.5606127455718558,0.5636228217992904,0.6897363415893938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586
7,fois,0.4742710443119653,0.3720508889046308,0.3837113066085363,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.617
8,assez,0.6823186826674351,0.400059253369866,0.6251525417977639,0.0,0.0,0.0,0.469,0.0,0.0,0.4848740544044536,0.414
8,fois,0.4742710443119653,0.3720508889046308,0.3837113066085363,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.617
8,bon,0.8496361744517235,0.4974327231143904,0.6809413474879623,0.0,0.0,0.0,0.6777168752498955,0.0,0.0,0.0,0.0
8,justice,0.76,0.538,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.0
8,enfants,0.8069388232648106,0.4730366448298597,0.3923017397916103,0.0,0.0,0.0,0.4890156815618869,0.0,0.0,0.0,0.523
9,bâton,0.4275515193874253,0.3309460273084114,0.3900130842888699,0.25,0.0,0.219,0.0,0.0,0.0,0.0,0.0
9,médaille,0.8368812844449147,0.5322991105238454,0.7271556328833099,0.0,0.0,0.0,0.424,0.0,0.289,0.461,0.477
9,temps,0.5738557721483191,0.3055880632693434,0.5865105805932753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516
9,chance,0.7670238935268203,0.5182458914540878,0.5645173712253149,0.0,0.0,0.0,0.0,0.0,0.516,0.0,0.0
9,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
9,venir,0.5077636222456227,0.4247459181933735,0.4697888562405837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633
10,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
10,idée,0.7131029008065903,0.5911349930036195,0.5594622793499789,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.32
10,subitement,0.4550946450243358,0.6651246093478217,0.4798526632894465,0.0,0.0,0.0,0.0,0.0,0.7751313060993996,0.0,0.0
11,bien,0.8496361744517235,0.4974327231143904,0.6809413474879623,0.0,0.0,0.0,0.6777168752498955,0.0,0.0,0.0,0.0
11,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
11,marier,0.896,0.7650000000000001,0.673,0.0,0.0,0.125,0.676,0.0,0.242,0.594,0.594
12,fois,0.4742710443119653,0.3720508889046308,0.3837113066085363,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.617
12,bien,0.8496361744517235,0.4974327231143904,0.6809413474879623,0.0,0.0,0.0,0.6777168752498955,0.0,0.0,0.0,0.0
12,vivre,0.8722145007409952,0.6432717606026254,0.7245442715500034,0.0,0.0,0.0,0.4126958620011229,0.0,0.0,0.5,0.461
13,richesse,0.8374991266101928,0.6444728012877678,0.8251592438306846,0.0,0.0,0.0,0.410005621266622,0.0,0.0,0.43,0.0
13,bête,0.215768437291202,0.423033531670477,0.2028556685383526,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0
13,stupide,0.215768437291202,0.423033531670477,0.2028556685383526,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0
13,cas,0.469,0.627,0.527,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.5
13,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0.0
13,imbécile,0.1925276326713793,0.4707374567061802,0.187116505350643,0.516,0.4289651228100695,0.0,0.0,0.0,0.0,0.0,0.0
13,mari,0.6823910126043574,0.4558851289245935,0.6389380917951913,0.0,0.0,0.0,0.4379999999999999,0.0,0.0,0.0,0.0
14,temps,0.5738557721483191,0.3055880632693434,0.5865105805932753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516
14,autrement,0.4845334547978399,0.4239390662784612,0.4867601811677478,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0
14,mère,0.821040206337619,0.4035964255599056,0.5723738061931395,0.0,0.0,0.0,0.4119999999999999,0.016,0.0,0.703,0.406
14,réfléchi,0.667,0.29,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.617,0.0
14,marier,0.896,0.7650000000000001,0.673,0.0,0.0,0.125,0.676,0.0,0.242,0.594,0.594
14,mot,0.388,0.62,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4919999999999999
14,tour,0.38,0.4,0.51,0.203,0.242,0.0,0.0,0.0,0.0,0.0,0.0
14,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
14,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
14,sinon,0.4845334547978399,0.4239390662784612,0.4867601811677478,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0
15,garde,0.5706323228349821,0.5507258460626814,0.7412353622057762,0.0,0.0,0.0,0.0,0.0,0.0,0.5735622674172701,0.0
15,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
15,avance,0.663686623970226,0.4839624416994323,0.7804642909611818,0.0,0.0,0.1879999999999999,0.375,0.0,0.375,0.0,0.695
15,animal,0.3510305219156174,0.6123927801725234,0.5657357928104133,0.562,0.0,0.734,0.0,0.0,0.0,0.0,0.0
16,loi,0.7737627946588235,0.4800860519328098,0.7504820670184651,0.0,0.0,0.0,0.0,0.0,0.0,0.547,0.0
16,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
16,opposition,0.427,0.694,0.796,0.543,0.0,0.0,0.0,0.0,0.0,0.297,0.0
16,famille,0.7821562604382359,0.3755303963198648,0.5901152059446427,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
17,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
17,étonner,0.8117461440743364,0.781095806672143,0.7003592162247029,0.0,0.0,0.0,0.703,0.0,0.7446307597067414,0.0,0.0
17,demander,0.5606127455718558,0.5636228217992904,0.6897363415893938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586
17,recevoir,0.6768312663556126,0.5258535634855003,0.6195248539509887,0.0,0.0,0.0,0.287,0.0,0.258,0.0,0.641
17,enfants,0.8069388232648106,0.4730366448298597,0.3923017397916103,0.0,0.0,0.0,0.4890156815618869,0.0,0.0,0.0,0.523
18,bien,0.8496361744517235,0.4974327231143904,0.6809413474879623,0.0,0.0,0.0,0.6777168752498955,0.0,0.0,0.0,0.0
18,attention,0.6145820747987488,0.5770086125654026,0.6323314435554255,0.0,0.0,0.276,0.0,0.0,0.594,0.0,0.609
18,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
18,malheur,0.2569450798124429,0.6753667791483998,0.290536673339361,0.47,0.398,0.4969478836382838,0.016,0.6612239667998042,0.0,0.0,0.0
18,entrer,0.6388922041644728,0.4426203634656047,0.4919788308420369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633
