Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise
0,Kriz,0.4513221945312947,0.3287429663041927,0.5504292388840927,1,0,0,0,0,0
0,Herr,0.578708951845571,0.408435494808788,0.6274639965966486,0,0,0,0,0,0
0,Freundlich,0.7177051253407628,0.3496436448608154,0.4226400745372364,0,0,0,1,0,0
0,kumme,0.5077636222456227,0.4247459181933735,0.4697888562405837,0,0,0,0,0,0
0,Vater,0.8024733948546023,0.3443872702128585,0.7925175470585678,0,0,0,0,0,0
0,guete,0.8496361744517235,0.4974327231143904,0.6809413474879623,0,0,0,1,0,0
0,Meinung,0.6587610783670992,0.3370812970690128,0.5648516272739867,0,0,0,0,0,0
0,süfere,0.7357928813855046,0.3468789811407178,0.5248465435633982,0,0,0,0,0,0
0,gän,0.5311555130794368,0.379209400082775,0.6433193632821606,0,0,0,0,0,0
0,böes,0.1610501832179356,0.6762431795778725,0.4450228033017753,1,1,1,0,1,0
1,Rhümatisse,0.219,0.472,0.418,0,0,0,0,1,0
1,Rand,0.4742710443119653,0.3720508889046308,0.3837113066085363,0.0,0.0,0.234,0.0,0.0,0.0
1,Band,0.5117547385590506,0.3904028754427047,0.4598365345281992,0,0,0,0,0,0
1,Jesses,0.8000000000000002,0.4000000000000001,0.62,0,0,0,1,0,0
2,Ja,0.731982479119855,0.6402102505617395,0.4381250409322417,0,0,0,1,0,0
2,satt,0.6566453679504511,0.5905904562773836,0.7466200196348174,0,0,0,0,0,0
2,uff,0.714,0.441,0.657,0,0,0,1,0,0
2,Wihnachte,0.9120191222366786,0.6474239951085886,0.6506551529966844,0,0,0,1,0,0
2,lon,0.2778176887927389,0.4746692635370985,0.3003378041080027,0,0,1,0,1,0
2,Rhümatisse,0.219,0.472,0.418,0,0,0,0,1,0
3,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
3,allewyl,0.6185883572349138,0.4931147079616885,0.5466996689288072,0,0,0,0,0,0
4,Herr,0.578708951845571,0.408435494808788,0.6274639965966486,0,0,0,0,0,0
5,Fränz,0.4743506503545591,0.3800286271180814,0.3836067057219087,0,0,0,0,0,0
5,wunderlichi,0.6156919151728825,0.7041787364103106,0.5720856890118656,0,0,0,1,0,0
5,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
5,perfekt,0.98,0.471,0.87,0.0,0.0,0.0,0.719,0.0,0.0
5,hin,0.1342249255858618,0.5430924605328892,0.2928683012496821,0,0,0,0,1,0
5,Pfund,0.57,0.337,0.443,0,0,0,0,0,0
5,gemacht,0.683,0.333,0.618,0,0,0,0,0,0
5,uff,0.714,0.441,0.657,0,0,0,1,0,0
6,fin,0.6871680515347233,0.4494776331589452,0.5257666853867039,0,0,0,1,0,0
6,speele,0.6460709338525759,0.6919089359073894,0.5152858817897907,0,0,0,0,0,0
6,Fränz,0.4743506503545591,0.3800286271180814,0.3836067057219087,0,0,0,0,0,0
6,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
6,verdorwe,0.1303478492207716,0.6463868407618831,0.3445780162780463,1,1,1,0,1,0
6,allewyl,0.6185883572349138,0.4931147079616885,0.5466996689288072,0,0,0,0,0,0
7,Mänung,0.6587610783670992,0.3370812970690128,0.5648516272739867,0,0,0,0,0,0
8,satt,0.6566453679504511,0.5905904562773836,0.7466200196348174,0,0,0,0,0,0
8,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
8,recht,0.6400876506878803,0.4089874388986209,0.6300150314500853,0,0,0,0,0,0
9,gän,0.5311555130794368,0.379209400082775,0.6433193632821606,0,0,0,0,0,0
9,recht,0.6400876506878803,0.4089874388986209,0.6300150314500853,0,0,0,0,0,0
9,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
9,apparti,0.655738797022804,0.3353337661856304,0.5707557035043621,0,0,0,0,0,0
9,allewyl,0.6185883572349138,0.4931147079616885,0.5466996689288072,0,0,0,0,0,0
9,Mül,0.734,0.294,0.336,0,0,0,0,0,0
9,Gott,0.758,0.518,0.886,0,0,0,1,0,0
9,Chance,0.7313121035029704,0.6161739823203446,0.7608008032784348,0,0,0,0,0,0
9,Herr,0.578708951845571,0.408435494808788,0.6274639965966486,0,0,0,0,0,0
9,kumme,0.5077636222456227,0.4247459181933735,0.4697888562405837,0,0,0,0,0,0
10,Vater,0.8024733948546023,0.3443872702128585,0.7925175470585678,0,0,0,0,0,0
10,uff,0.714,0.441,0.657,0,0,0,1,0,0
11,Hoor,0.4943528544220953,0.3883591483470008,0.3388204258264995,0,0,0,0,0,0
12,Verstande,0.7543062608133073,0.3721223486062517,0.6101052771545744,0,0,0,1,0,0
12,guet,0.8496361744517235,0.4974327231143904,0.6809413474879623,0,0,0,1,0,0
13,Richtum,0.8374991266101928,0.6444728012877678,0.8251592438306846,0.0,0.0,0.0,0.410005621266622,0.0,0.0
13,dumm,0.2504457992195376,0.4047137068345491,0.1975361692273941,0,0,0,1,0,0
13,grad,0.6993651460488204,0.3954513279714086,0.6519229691474666,0,0,0,0,0,0
13,saöt,0.6566453679504511,0.5905904562773836,0.7466200196348174,0,0,0,0,0,0
13,dummer,0.2504457992195376,0.4047137068345491,0.1975361692273941,0,0,0,1,0,0
13,Herr,0.578708951845571,0.408435494808788,0.6274639965966486,0,0,0,0,0,0
13,Hüs,0.6701485966188446,0.2761480525313476,0.5537241657527012,0,0,0,1,0,0
13,guet,0.8496361744517235,0.4974327231143904,0.6809413474879623,0,0,0,1,0,0
13,Simpel,0.2793087470389632,0.4252468642182204,0.2351291544543048,0,0,0,1,0,0
13,Mann,0.6823910126043574,0.4558851289245935,0.6389380917951913,0,0,0,0,0,0
14,mine,0.7174614274296905,0.4855792551331206,0.6835986364388508,0,0,0,0,0,0
14,Mueter,0.8333214930903253,0.4078610643640434,0.6037968922019624,0,0,0,0,0,0
14,lang,0.5280080824659347,0.445728829830827,0.5409882638697031,0,0,0,0,0,0
14,Wort,0.388,0.62,0.526,0,0,0,0,0,0
14,Reih,0.4814745923985207,0.2826743192921647,0.4715898476360272,0,0,0,0,0,0
14,Vater,0.8024733948546023,0.3443872702128585,0.7925175470585678,0,0,0,0,0,0
