Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise
16,famille,0.7821562604382359,0.3755303963198648,0.5901152059446427,0.0,0.0,0.0,0.5,0.0,0.0
17,homme,1,0,1,0,0,0,0,0,0
17,étonner,0.8117461440743364,0.781095806672143,0.7003592162247029,0.0,0.0,0.0,0.703,0.0,0.7446307597067414
17,demander,1,1,1,0,0,0,0,0,0
17,recevoir,0.6768312663556126,0.5258535634855003,0.6195248539509887,0.0,0.0,0.0,0.287,0.0,0.258
17,enfants,1,0,0,0,0,0,0,0,0
18,bien,1,0,1,0,0,0,1,0,0
18,attention,0.6145820747987488,0.5770086125654026,0.6323314435554255,0.0,0.0,0.276,0.0,0.0,0.594
18,homme,1,0,1,0,0,0,0,0,0
18,malheur,0,1,0,0,0,0,0,1,0
18,entrer,1,0,0,0,0,0,0,0,0
18,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0
18,demander,1,1,1,0,0,0,0,0,0
18,chercher,0.6171730317967058,0.5148396883156859,0.4781598900701125,0.0,0.0,0.0,0.0,0.0,0.0
18,fusil,0.2555825286720349,0.9030436949881224,0.7228348844692725,0.4501776944887621,0.0,0.5545275743722952,0.0,0.0,0.0
18,tire,1,1,0,0,0,0,0,0,0
18,chargé,0.266,0.662,0.596,0.0,0.0,0.594,0.0,0.7219999999999999,0.0
18,cervelle,1,0,1,0,0,0,1,0,0
19,jouer,1,1,1,0,0,0,0,0,0
19,belle,1,0,1,0,0,0,0,0,0
19,dame,0.6741537947485023,0.4713769574170061,0.5231645897606956,0.03,0.219,0.0,0.0,0.0,0.0
19,mettre,1,0,1,0,0,0,0,0,0
19,chasser,0,1,0,1,0,0,0,0,0
19,homme,1,0,1,0,0,0,0,0,0
19,organisation,1,0,1,0,0,0,0,0,0
19,filles,1,1,0,0,1,0,0,0,0
19,hommes,1,0,1,0,0,0,0,0,0
19,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
21,temps,0.5738557721483191,0.3055880632693434,0.5865105805932753,0.0,0.0,0.0,0.0,0.0,0.0
21,avant,1,0,1,0,0,0,0,0,0
21,arriver,1,0,1,0,0,0,0,0,0
22,demande,1,1,1,0,0,0,0,1,0
22,imbécile,0,0,0,1,0,0,0,0,0
22,obtenir,1,1,1,0,0,0,0,0,0
22,vrai,0.8235551257078202,0.4120878812309737,0.7469588919461928,0.0,0.0,0.0,0.328,0.0,0.0
22,homme,1,0,1,0,0,0,0,0,0
22,mérite,1,0,1,0,0,0,0,0,0
22,heure,1,0,1,0,0,0,0,0,0
23,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
23,mérite,1,0,1,0,0,0,0,0,0
23,fois,0,0,0,0,0,0,0,0,0
23,cœur,1,0,1,0,0,0,1,0,0
23,fête,0.9555242406029352,0.7931449203648278,0.7191660619415928,0.0,0.0,0.0,0.8602685700229779,0.0,0.539
23,toujours,1,1,1,0,0,0,0,0,0
23,actions,1,0,1,0,0,0,0,0,0
24,homme,1,0,1,0,0,0,0,0,0
24,prix,0.7668830514183957,0.6285551657752269,0.5938909506498335,0.0,0.0,0.0,0.6765756513576481,0.0,0.352
24,concours,1,1,1,0,0,0,0,0,0
24,vrai,0.8235551257078202,0.4120878812309737,0.7469588919461928,0.0,0.0,0.0,0.328,0.0,0.0
24,médaille,0.8368812844449147,0.5322991105238454,0.7271556328833099,0.0,0.0,0.0,0.424,0.0,0.289
24,cœur,1,0,1,0,0,0,1,0,0
25,meilleur,1,1,1,0,0,0,1,0,0
25,espoir,1,0,1,0,0,0,1,0,0
25,très,0,1,1,0,1,1,0,1,0
25,curieux,0,1,1,1,1,1,0,1,1
26,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
26,enfants,1,0,0,0,0,0,0,0,0
26,monsieur,1,0,1,0,0,0,0,0,0
27,peut-être,0,0,0,0,0,0,0,0,0
28,agriculture,0.6243200837064993,0.4171431964230984,0.5317499083942652,0.0,0.0,0.0,0.0,0.0,0.0
29,désir,0.6758682090790401,0.522604917506919,0.6047083232348196,0.0,0.0,0.0,0.3796217404434263,0.594,0.391
29,autorité,0.6169202475884807,0.5939618486938096,0.9297941258468068,0.0,0.0,0.0,0.0,0.0,0.0
29,servante,1,0,1,0,0,0,0,0,0
29,fidèle,0.8920634960039325,0.2984602839665731,0.6422381100147472,0.0,0.0,0.094,0.5066507719783708,0.0,0.148
29,dévouement,1,0,1,0,0,0,0,0,0
29,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0
30,attitude,1,0,1,0,0,0,0,0,0
30,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
31,sûrement,1,0,1,0,0,0,0,0,0
31,aura,0.76,0.333,0.5,0.0,0.0,0.0,0.493,0.0,0.0
31,croix,0,0,1,1,0,0,0,0,0
32,peut-être,0,0,0,0,0,0,0,0,0
32,compte,0.531,0.347,0.472,0.0,0.0,0.0,0.0,0.0,0.0
32,ruban,1,0,0,0,0,0,0,0,0
32,décoration,1,0,1,0,0,0,0,0,0
32,reçu,1,1,1,0,0,0,0,0,0
32,avant,1,0,1,0,0,0,0,0,0
32,obtenir,1,1,1,0,0,0,0,0,0
33,reçu,1,1,1,0,0,0,0,0,0
33,avant,1,0,1,0,0,0,0,0,0
33,donner,0.5311555130794368,0.379209400082775,0.6433193632821606,0.0,0.0,0.0,0.0,0.0,0.0
33,peur,0,1,0,0,0,1,0,0,0
33,compte,0.531,0.347,0.472,0.0,0.0,0.0,0.0,0.0,0.0
33,opposition,0.427,0.694,0.796,0.543,0.0,0.0,0.0,0.0,0.0
34,officier,0.542,0.43,0.877,0.0,0.0,0.0,0.0,0.0,0.0
34,bien,1,0,1,0,0,0,1,0,0
34,attrapé,0,1,0,0,0,1,0,1,0
34,casemate,1,0,0,0,0,0,0,0,0
35,fois,0,0,0,0,0,0,0,0,0
35,toujours,1,1,1,0,0,0,0,0,0
35,vérité,0.947502542093038,0.3955545349905747,0.697955355170325,0.0,0.0,0.0,0.0,0.0,0.0
35,enfants,1,0,0,0,0,0,0,0,0
36,mettre,1,0,1,0,0,0,0,0,0
36,diplôme,1,0,1,0,0,0,0,0,0
36,gras,0,0,0,0,1,0,0,0,0
36,monsieur,1,0,1,0,0,0,0,0,0
36,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
36,figure,1,0,1,0,0,0,0,0,0
36,genre,1,1,1,0,0,0,1,0,0
36,attendant,1,0,0,0,0,0,0,0,0
36,vivement,1,1,1,0,0,0,0,0,0
36,saut,1,0,0,0,0,0,0,0,0
36,maître,1,0,1,0,0,0,0,0,0
36,école,0.6676771558627984,0.4107591056350719,0.6310436331369346,0.0,0.0,0.0,0.0,0.0,0.0
36,recommander,0.7878130921936306,0.509796338352675,0.6598192304242211,0.0,0.0,0.0,0.266,0.0,0.0
36,enfin,0.583,0.433,0.4650000000000001,0.0,0.125,0.0,0.157,0.0,0.297
37,disparu,0.2503825744582609,0.440774380426885,0.2591702719323158,0.0,0.0,0.5014258052728291,0.0,0.6737781839977395,0.727
37,courage,1,1,1,0,0,0,0,0,0
37,prévenir,0.429,0.6470000000000001,0.564,0.0,0.0,0.453,0.0,0.0,0.297
37,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
38,fusil,0.2555825286720349,0.9030436949881224,0.7228348844692725,0.4501776944887621,0.0,0.5545275743722952,0.0,0.0,0.0
38,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
38,dictionnaire,0.6119734725279833,0.2789771246023653,0.6003127282546488,0.0,0.0,0.0,0.0,0.0,0.0
39,monsieur,1,0,1,0,0,0,0,0,0
39,vrai,0.8235551257078202,0.4120878812309737,0.7469588919461928,0.0,0.0,0.0,0.328,0.0,0.0
39,bien,1,0,1,0,0,0,1,0,0
39,oublié,0.2645816783512424,0.4080985964731514,0.240531759638026,0.0,0.0,0.266,0.0,0.53,0.0
39,vue,0.6966559674896479,0.352506754720856,0.5539071429655887,0.0,0.0,0.0,0.0,0.0,0.0
40,très,0,1,1,0,1,1,0,1,0
40,bon,1,0,1,0,0,0,1,0,0
41,assez,1,0,1,0,0,0,0,0,0
41,monsieur,1,0,1,0,0,0,0,0,0
41,très,0,1,1,0,1,1,0,1,0
41,filles,1,1,0,0,1,0,0,0,0
41,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0
41,attendez,1,0,0,0,0,0,0,0,0
42,dictionnaire,0.6119734725279833,0.2789771246023653,0.6003127282546488,0.0,0.0,0.0,0.0,0.0,0.0
42,passé,1,0,0,0,0,0,0,0,0
42,tendre,1,0,0,0,0,0,1,0,0
42,jeunesse,0.938,0.608,0.736,0.045,0.0,0.062,0.375,0.0,0.172
42,heureux,1,1,1,0,0,0,1,0,0
42,hasard,1,0,0,0,0,0,0,0,0
42,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
42,fête,0.9555242406029352,0.7931449203648278,0.7191660619415928,0.0,0.0,0.0,0.8602685700229779,0.0,0.539
42,agriculture,0.6243200837064993,0.4171431964230984,0.5317499083942652,0.0,0.0,0.0,0.0,0.0,0.0
42,tranquille,1,0,0,0,0,0,0,0,0
42,modeste,1,0,0,0,0,0,0,0,0
42,empoisonné,0.057,0.808,0.402,0.636,0.711,0.886,0.0,0.667,0.0
42,parfum,1,0,0,0,0,0,0,0,0
42,violence,1,1,1,0,0,0,0,0,0
43,robuste,1,1,1,0,0,0,0,0,0
43,terre,1,0,0,0,0,0,0,0,0
43,rude,0,1,0,1,0,1,0,0,0
43,sincère,0.8800873154078902,0.3612561879236355,0.6369944323086167,0.0,0.0,0.0,0.6548915835411497,0.188,0.0
43,franc,1,0,1,0,0,0,0,0,0
43,libre,1,0,1,0,0,0,1,0,0
43,noble,0.8089662100883288,0.3375838392506527,0.6463267523556504,0.0,0.0,0.0,0.0,0.0,0.0
43,bonheur,1,1,1,0,0,0,1,0,0
43,retraite,0.3455223954326962,0.4474066422774735,0.3086258460969919,0.0,0.0,0.156,0.275,0.188,0.0
43,joie,1,1,1,0,0,0,1,0,0
43,dictionnaire,0.6119734725279833,0.2789771246023653,0.6003127282546488,0.0,0.0,0.0,0.0,0.0,0.0
44,liberté,0.9526054003682748,0.5625100318422702,0.8685087943680958,0.0,0.0,0.0,0.521335646052278,0.0,0.312
44,bouquet,0.6848487696769308,0.3767981463050592,0.3511370229110565,0.0,0.0,0.0,0.484,0.0,0.0
44,fleurs,1,0,0,0,0,0,1,0,0
44,témoignage,0.615,0.578,0.643,0.0,0.0,0.0,0.0,0.0,0.0
44,adoration,1,1,1,0,0,0,1,0,0
45,belle,1,0,1,0,0,0,0,0,0
45,sentence,0,1,1,0,0,0,0,0,0
45,douce,1,0,0,0,0,0,1,0,0
45,arrivée,0.6368883802125153,0.526052818288886,0.6202914152897226,0.0,0.0,0.0,0.0,0.0,0.0
45,diplôme,1,0,1,0,0,0,0,0,0
45,gras,0,0,0,0,1,0,0,0,0
45,charmant,1,0,1,0,0,0,1,0,0
45,semblable,1,0,0,0,0,0,0,0,0
45,certainement,1,0,1,0,0,0,1,0,0
45,maître,1,0,1,0,0,0,0,0,0
45,peut-être,0,0,0,0,0,0,0,0,0
46,charmant,1,0,1,0,0,0,1,0,0
46,goût,1,0,1,0,0,0,1,0,0
46,enthousiaste,1,1,1,0,0,0,1,0,0
46,vie,1,1,1,0,0,0,0,0,0
47,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
47,accord,0.7654284272335323,0.4072147528245398,0.6227211613968681,0.0,0.0,0.0,0.0,0.0,0.0
47,attente,1,0,0,0,0,0,0,0,0
47,belle,1,0,1,0,0,0,0,0,0
47,fait,0.683,0.333,0.618,0.0,0.0,0.0,0.0,0.0,0.0
48,craindre,0,1,0,0,0,1,0,0,0
48,pire,0.1078003924948083,0.7212625511096675,0.3281478259258601,0.0,0.0,0.4839999999999999,0.0,0.453,0.0
48,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
48,justement,1,0,1,0,0,0,0,0,0
49,homme,1,0,1,0,0,0,0,0,0
49,arrivé,1,0,1,0,0,0,0,0,0
49,cochon,0,0,0,0,1,0,0,0,0
49,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0
50,critique,0,1,1,0,0,0,0,0,0
50,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0
50,bien,1,0,1,0,0,0,1,0,0
