Mots,frequence
wirklig,23
Gsündhäit,23
sunderbar,23
güat,23
hoff,22
Band,22
Schuel,22
Gewalt,22
verspreche,22
treten,22
Lache,22
verrote,22
Mittle,22
Paus,22
Soldat,22
Fräid,22
großartig,22
verlange,22
kleiner,22
Notari,22
Direkter,22
kauft,21
Eltre,21
vielleicht,21
streng,21
schlimm,21
Bildung,21
feierlich,21
Schrank,21
Wuet,21
Unter,21
Strüss,21
älter,21
chance,21
Ewigkeit,21
Geischter,21
trürig,21
Racht,21
danze,20
Schatz,20
Schön,20
scharf,20
Erbschaft,20
Wahl,20
ewig,20
erwartet,20
Lohn,20
weinerlich,20
frech,20
dief,20
Arwet,20
schmecke,20
plötzlich,20
Traum,20
Müül,20
selig,20
bienand,20
heiliger,20
kräftig,20
singen,20
loon,20
bisse,20
ehrlich,20
wunderfitzig,20
Durscht,20
Sitzung,20
gerischt,20
Friede,20
gerade,20
schuldig,20
tanze,20
Portner,20
gued,20
schlechter,19
losse,19
geben,19
Kunst,19
gute,19
Kranke,19
Gewitter,19
komisch,19
Geist,19
rechten,19
aufgeregt,19
drucke,19
Fröüj,19
lustig,19
Sicher,19
Jumpfere,19
Lacht,19
Bumbié,19
empfange,19
Hitz,19
schwach,19
Bitte,19
blose,19
vergasse,19
schlacht,19
schlechte,19
schwar,19
Diebe,19
Schüal,19
kumma,19
bees,18
scheener,18
Imm,18
Sind,18
schlaa,18
kleinen,18
gscheid,18
Nerve,18
einzig,18
Kummer,18
gelte,18
Damen,18
nachdenklich,18
zähle,18
uffgerejt,18
weich,18
angenehm,18
unschuldig,18
frej,18
Kriz,18
schiesse,18
g'sund,18
lebhaft,18
latz,18
Rüeh,18
wiescht,18
Pistole,18
Schinder,17
Anfang,17
sait,17
Loos,17
Dolle,17
versprich,17
Verdacht,17
voller,17
ankumme,17
eifrig,17
brave,17
gröschte,17
eilig,17
Allmächtiger,17
verzweifelt,17
Doochter,17
beleidigt,17
erwart,17
erwarte,17
rasend,17
verschwinde,17
Reise,17
rischte,17
gläuwe,17
säit,17
Krankheit,17
Parole,17
heiße,17
begriffe,17
Gelte,17
Schade,17
Güete,17
langer,17
effet,17
G'heimniss,17
Teifel,17
lohn,17
Muul,16
falsch,16
Stein,16
Schmerz,16
Schicksal,16
blos,16
Held,16
Dreck,16
Heiliger,16
betrachte,16
elend,16
Pfund,16
Kamerad,16
ohnmächtig,16
Arbeit,16
Witz,16
Umarmung,16
spiel,16
luschti,16
Danke,16
Hiesel,16
halfe,16
Mäide,16
Kampf,16
passt,16
Famili,16
eifach,16
Komma,16
verlobt,16
schmutze,16
riskiere,16
verlang,16
verstand,16
G'wisse,16
Müater,16
loh,16
Schulde,15
Blueme,15
eilen,15
Last,15
schade,15
wachse,15
zwinge,15
Viellicht,15
überrascht,15
Pläsier,15
Tropf,15
Lampe,15
Sturm,15
Trumpf,15
Verspreche,15
Körper,15
Glauwe,15
lätzi,15
gespannt,15
lätz,15
schreien,15
Uffrejung,15
spare,15
fin,15
wünsche,15
Kräfte,15
Professer,15
Pris,15
Zall,15
Mäinung,15
G'spass,15
Beifall,15
Freide,15
verhirot,15
leben,14
lusti,14
Drache,14
alten,14
Helfe,14
schwere,14
gewinne,14
Wohret,14
Angel,14
Tropfe,14
glüecklich,14
heilige,14
biesamme,14
umesunscht,14
Unglüeck,14
Rot,14
Find,14
Richtum,14
Bewies,14
reise,14
stärker,14
süfer,14
Flint,14
Büffet,14
fasse,14
heiß,14
annemme,14
binander,14
Gescht,14
Beleidigung,14
Sünde,14
Opfer,14
verwirrt,14
charmant,14
Manner,14
Teschtament,14
schen,14
füere,13
Narre,13
sicht,13
Schlaa,13
braver,13
freundlich,13
Ruhe,13
gebroche,13
Freiheit,13
wüensch,13
Schluck,13
garantier,13
Wahle,13
Schmerze,13
fraid,13
stosse,13
schwitz,13
heiter,13
Jaa,13
Geste,13
Fier,13
verderwe,13
schrecklich,13
versicher,13
ziemlich,13
hoche,13
höchste,13
Brüder,13
Müehj,13
Verwunderung,13
Stelle,13
gwiss,13
frindlich,13
Aufregung,13
Portnere,13
lach,12
fein,12
dunkle,12
Eltern,12
Spott,12
basst,12
Härz,12
Junge,12
Summer,12
Verein,12
kranke,12
under,12
versteckelt,12
wünsch,12
schiene,12
bigott,12
zahl,12
sprachlos,12
versueche,12
gelunge,12
Mass,12
Stoss,12
Aktie,12
trette,12
unglüecklich,12
Ohnmacht,12
Troscht,12
Mumes,12
willkumme,12
pfiffe,12
dunkel,12
Kaib,12
bitter,12
verzeje,12
Mueter,12
geheimnisvoll,12
Leib,12
schöene,12
Pläsir,12
Klein,12
hiele,12
Frindschaft,12
Gottsacker,12
leischte,12
gedenke,12
inverstande,12
engagiert,12
Lehr,12
profetiere,12
leere,12
Guten,12
Sorge,12
Gedicht,12
glauib,12
mäine,12
Opposition,12
Soldaten,12
Zeje,12
Revolver,12
Müet,12
lawa,12
Mord,11
Glük,11
guede,11
zsamme,11
breche,11
treu,11
frischi,11
Glaub,11
bravi,11
Scheen,11
fählt,11
Respekt,11
Fraide,11
morgen,11
freie,11
Düell,11
Tanz,11
schwimme,11
Tränen,11
Baam,11
Jesüs,11
stürmisch,11
Kneckes,11
ernscht,11
Käfig,11
Lib,11
knapp,11
messe,11
Schwindel,11
ewige,11
schneller,11
schelte,11
Mörder,11
adje,11
Pfohl,11
griffe,11
freij,11
Bescht,11
Lamp,11
Erfahrung,11
Worten,11
triumphierend,11
üsgange,11
Toilette,11
wichtigi,11
raacht,11
g'scheidt,11
Fasenacht,11
Schwindler,11
Kunscht,11
fassen,11
Erb,11
vorüs,11
fül,11
hanke,11
begrawe,10
Doot,10
krieje,10
Brand,10
Schrift,10
Glanz,10
Gut,10
grob,10
lehr,10
Zäll,10
zart,10
Doktor,10
Haltung,10
rechter,10
Träne,10
sing,10
Bund,10
adieu,10
Armen,10
bewiese,10
Rechnung,10
netter,10
Däifel,10
amesiere,10
krache,10
Vermöje,10
nervös,10
Natür,10
Sterne,10
Rätsel,10
gelade,10
müed,10
vergässe,10
Spass,10
versichere,10
bestimmt,10
schlächt,10
abhalte,10
erschreckt,10
Stimmung,10
finschter,10
Grossvater,10
schöener,10
Amen,10
Geburtsdaa,10
Menschheit,10
gröscht,10
weinen,10
beditte,10
lichtsinnig,10
bedüre,10
Satan,10
Begriff,10
Brieder,10
schoeni,10
minne,10
helle,10
Hüß,10
wietig,10
G’sundheit,10
Männele,10
G'falle,10
Junger,10
putze,10
Fritig,10
schliche,10
Raacht,10
Töchter,10
Tat,10
spielen,10
stossen,10
suchen,10
amüsiere,10
Richtigkeit,10
niesen,10
Maske,10
mied,10
Cabinet,10
G'setz,10
Schandarm,10
Rühe,10
Gemäind,10
G’sicht,10
gläuib,10
Scheidung,10
Hochzyt,9
endli,9
gemein,9
guten,9
Streit,9
geglaubt,9
Vermeeje,9
Härze,9
ellain,9
Schwur,9
Treue,9
schwarzi,9
Schönheit,9
lauter,9
Rächt,9
Bär,9
glückli,9
Lust,9
liab,9
Offe,9
verbiete,9
Gschbass,9
Hirote,9
Wüensch,9
starr,9
verlier,9
schütteln,9
verschmutze,9
Bubbele,9
verbrennt,9
tanzen,9
Gschäfte,9
böser,9
Blitz,9
Bitt,9
Reih,9
ehrliche,9
krische,9
lächelt,9
Pracht,9
verbote,9
Ühr,9
Luscht,9
Verlange,9
heimlich,9
Fröj,9
warmi,9
G'schäft,9
Satz,9
Wüet,9
schlimmer,9
stirb,9
lahm,9
starker,9
stellen,9
trieb,9
bitten,9
Wittmann,9
beleidige,9
chic,9
Metzjer,9
frische,9
blick,9
glicklich,9
Firma,9
lätze,9
häiss,9
führen,9
fahle,9
lawe,9
verstehen,9
empört,9
wisseschaftliche,9
grossartig,9
Medizin,9
seli,9
kämpfe,9
einzige,9
wahrhaft,9
ufrichtig,9
richte,9
Schlingel,9
Testament,9
Original,9
Nochbere,9
Falle,9
Müeder,9
Arnscht,9
g’schickt,9
Zahlmeischter,9
verlora,9
Kleiner,9
Krippele,9
Schmuz,8
Gsang,8
gewarnt,8
mächtig,8
Verdruß,8
Kracher,8
Jung,8
gros,8
verbiet,8
Krank,8
Schlag,8
herzlich,8
gen,8
schreiend,8
leicht,8
gelt,8
Chor,8
Singe,8
Muedder,8
getriewe,8
Schutz,8
Bluem,8
druck,8
süüfer,8
drohend,8
haiss,8
unglücklich,8
Mama,8
kapüt,8
ehrlicher,8
Flamme,8
begriff,8
füehre,8
Spitze,8
selte,8
verstick,8
umbringe,8
nette,8
vergess,8
Gfalle,8
ändere,8
luschtig,8
Unschuld,8
kalti,8
Üssicht,8
ruehj,8
miteinander,8
Donnerwetter,8
liebenswürdig,8
Irrtum,8
hänke,8
Elektrisch,8
gfitzt,8
Narrehüss,8
Ängschte,8
brüele,8
blöj,8
Ofen,8
gröeschte,8
warme,8
küriere,8
Tröpfel,8
verläje,8
wahrhafti,8
Leb,8
gerüscht,8
Villicht,8
führe,8
Reis',8
Schin,8
Zustimmung,8
Skandal,8
schoen,8
dankbar,8
unglicklich,8
Gejedeil,8
gan,8
schreie,8
Paradies,8
elektrische,8
kläglich,8
unterhalte,8
Rhümatisse,8
saöt,8
echter,8
Uehre,8
gemesse,8
Gfüehl,8
Verräter,8
Bajonett,8
flichte,8
Stern,8
begleite,8
umsunscht,8
Eh',8
Priest,8
Müeter,8
gläuwi,8
Gemeinde,8
bes,8
gænn,8
Kuss,8
gega,8
danka,8
Jeses,7
Sünd,7
gschosse,7
schönen,7
Freundschaft,7
richten,7
Gesundheit,7
Arzt,7
folge,7
Fett,7
Zaiche,7
bluet,7
Fang,7
glükli,7
dummi,7
gärn,7
strofe,7
guter,7
erreicht,7
Nammesdaa,7
Wacht,7
Bäre,7
Korn,7
beesi,7
schwarzer,7
gerne,7
Fest,7
Glauben,7
Eid,7
herrlich,7
Seele,7
höchsten,7
vergessen,7
Herzen,7
Willkumme,7
gfall,7
Morjes,7
unten,7
zähl,7
kranki,7
offen,7
Wunderfitz,7
Namesdaa,7
Zuck,7
kalte,7
verachte,7
energisch,7
buschur,7
erfreut,7
Eile,7
verständig,7
Dummer,7
tröschte,7
schwerer,7
traime,7
Politik,7
Gebet,7
Kischt,7
komischer,7
munter,7
helfen,7
verzwiefelt,7
Vergnügen,7
Lexikon,7
süfere,7
Schreck,7
Dejfel,7
verdorwe,7
Mischt,7
Gspass,7
Grüess,7
Rumatisse,7
hängen,7
Mangel,7
erschrickt,7
Liwer,7
Bettlad,7
richtige,7
toilette,7
trumpier,7
Hitze,7
betroffen,7
trüri,7
Versuech,7
Erfüllung,7
Folter,7
fordere,7
schließlich,7
Dokt'r,7
Schwarzer,7
einverstanden,7
Rettung,7
begeistert,7
Freie,7
begeischtert,7
Einfach,7
g’schosse,7
Vermeje,7
Schlacht,7
vertriwe,7
Guillotine,7
enttäuscht,7
bikumm,7
Gfangnis,7
Respakt,7
liebe,7
Empfang,7
unmöglich,7
Unruhe,7
Zeugnis,7
wahnsinnig,7
Heimweh,7
Heilige,7
verschaffe,7
lebe,7
Überraschung,7
offene,7
Duell,7
preveniere,7
Revolution,7
verfiehre,7
triwe,7
Hass,7
verbunde,7
klage,7
fine,7
Bar,7
Baba,7
Harze,7
Wünder,7
verzejhe,7
Söij,7
Wähler,7
hall,7
Halfe,7
Mieder,7
Schultz,7
Erben,7
Vermögen,7
Madamme,7
nat,7
gah,7
Begeischterung,7
ganza,7
gfanga,7
halfa,7
kocha,7
befreia,7
Chrischtus,7
Prieschter,7
anderst,6
erfüllt,6
Vielleicht,6
fehlen,6
folgen,6
Geister,6
alder,6
bysamme,6
Verliebt,6
frumm,6
Gfohr,6
Verstande,6
Frynd,6
glauben,6
sanft,6
Koche,6
iwwel,6
Spinne,6
Gosch,6
angfange,6
striche,6
Qual,6
gezwungen,6
verschrecke,6
frecher,6
Schlang,6
Lach,6
Kranket,6
beese,6
Imme,6
Prozess,6
Bruder,6
falschi,6
flott,6
förcht,6
Besuch,6
Gesang,6
herzige,6
friendlich,6
kichert,6
wichtiger,6
Bsuech,6
Jagd,6
biss,6
Anzahl,6
gschtohle,6
jungen,6
neugierig,6
Suech,6
letze,6
quäle,6
Brigadier,6
erlöst,6
Pries,6
Abgrund,6
Bettler,6
gfitzte,6
Danz,6
pfiff,6
Mess,6
Danze,6
bequem,6
uffrichtig,6
Maläschte,6
Finde,6
Mes,6
Hungersnot,6
Wahrhaftig,6
root,6
Prinzessin,6
schlecke,6
gschtorwe,6
versprech,6
Dolch,6
Botschaft,6
Sicherheit,6
giftig,6
Plaisir,6
gröescht,6
ängschtlich,6
Schirm,6
wüescht,6
Verbindung,6
entdeckt,6
spanne,6
schwärme,6
schlaue,6
Prise,6
langen,6
stöere,6
natter,6
wirkli,6
Humor,6
Liebschti,6
bsundersch,6
folgenden,6
furtgehn,6
Wahrhafti,6
ehrli,6
Gheimnis,6
Moral,6
amesiert,6
erfülle,6
trenne,6
Abschied,6
Verderwe,6
elende,6
Weinen,6
Mitleid,6
Wibsbild,6
übel,6
glaube,6
gstohle,6
verloren,6
ziemli,6
verlon,6
gemütlich,6
Verrucktheit,6
glänzende,6
Bande,6
fercht,6
vergelte,6
jünger,6
gebrennt,6
roh,6
Wünsch,6
Frejheit,6
Verruckter,6
Rezept,6
Kanal,6
Jungi,6
unangenehm,6
gschah,6
Nähe,6
schlag,6
räecht,6
klatschen,6
unruhig,6
laar,6
lüter,6
empfehle,6
fette,6
wichtige,6
Wärme,6
Teufel,6
Resültat,6
Heiterkeit,6
Gegenteil,6
Abstammung,6
eventuell,6
vertritt,6
Richter,6
rischt,6
Herrschaften,6
teile,6
verreise,6
grossartige,6
genäu,6
verächtlich,6
furchtbar,6
erleichtert,6
kapütt,6
degeje,6
Plaisier,6
sicherer,6
klare,6
bedite,6
Schandarme,6
Verachtung,6
trotzig,6
Orchester,6
schrecklig,6
Pfünd,6
Flüech,6
bereit,6
Friendschaft,6
Lanz,6
Klown,6
Minischterium,6
Tropfen,6
v‘rdaachti,6
schienheilig,6
süecha,6
morda,6
Harza,6
lasse,5
Bäum,5
spinne,5
Blüemle,5
brechen,5
Sieg,5
Lange,5
haiße,5
Freunde,5
Verlegenheit,5
Flucht,5
lieben,5
Netz,5
erbarm,5
verstellt,5
rächter,5
Allein,5
Spiele,5
Graddel,5
Rache,5
morjes,5
guedi,5
Schwarm,5
wacht,5
Windle,5
Lob,5
ballt,5
Kett,5
Schmier,5
Ausgang,5
Wut,5
Vergesse,5
Engele,5
Geben,5
Vorstand,5
Ratte,5
grösser,5
schönere,5
bloose,5
Barmherzigkeit,5
heisser,5
falsche,5
gifti,5
Löwe,5
Mores,5
famille,5
gsünd,5
vergnügt,5
süür,5
warn,5
wüensche,5
Gruppe,5
wunderfitzi,5
Gsichter,5
blamiert,5
händle,5
dapfer,5
Fange,5
Hewamm,5
rüiniert,5
Elender,5
Bündel,5
trett,5
verlonn,5
saftig,5
elegant,5
Medaille,5
Lüüser,5
Andenke,5
losgehn,5
Verläjeheit,5
Comité,5
trej,5
gfährlich,5
schmerzhaft,5
stäriker,5
Gruess,5
herzig,5
meschugge,5
Muehj,5
Wittfrau,5
gezwunge,5
Biefall,5
Gueti,5
verschwind,5
Muet,5
füll,5
klopfe,5
leiden,5
verrückt,5
Bries,5
einfacher,5
Farce,5
Güeter,5
geschlagen,5
Mäidel,5
bienander,5
Zäiche,5
läb,5
glüeckli,5
gfasst,5
Docter,5
grüesse,5
folgsam,5
Mäidle,5
verzwifelt,5
Exame,5
g'fange,5
parole,5
Reihe,5
Gejemittel,5
verfehle,5
ruewi,5
Krankheite,5
richt,5
uffnemme,5
Zuefall,5
läuten,5
stupfe,5
rüscht,5
fericht,5
lid,5
Energie,5
trete,5
schweri,5
großarti,5
auffallend,5
Christus,5
Vorsicht,5
Geschäft,5
Versammlung,5
Vereine,5
bettle,5
