,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
0,0,0.586,0.413,0.573,0.097,0.000,0.091,0.000,0.094,0.000,0.117,0.327,0.539,0.451,0.576,0.097,0.086,0.159,0.000,0.094,0.000,0.117,0.244
1,1,0.579,0.575,0.632,0.188,0.097,0.109,0.204,0.100,0.058,0.314,0.095,0.473,0.564,0.540,0.216,0.145,0.182,0.121,0.249,0.091,0.173,0.186
2,2,0.906,0.717,0.615,0.000,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.689,0.536,0.569,0.000,0.000,0.000,0.370,0.000,0.153,0.097,0.220
3,3,0.810,0.350,0.576,0.000,0.000,0.000,0.274,0.000,0.110,0.672,0.192,0.680,0.416,0.577,0.000,0.000,0.000,0.226,0.000,0.000,0.435,0.000
4,4,0.714,0.635,0.601,0.000,0.000,0.000,0.730,0.000,0.270,0.512,0.558,0.692,0.673,0.611,0.240,0.263,0.224,0.424,0.000,0.180,0.341,0.372
5,5,0.533,0.341,0.509,0.096,0.136,0.097,0.256,0.000,0.133,0.253,0.089,0.630,0.422,0.576,0.069,0.136,0.118,0.256,0.000,0.088,0.181,0.064
6,6,0.669,0.448,0.466,0.000,0.000,0.000,0.386,0.031,0.090,0.220,0.164,0.641,0.669,0.567,0.118,0.126,0.147,0.338,0.135,0.189,0.228,0.323
7,7,0.672,0.431,0.589,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.293,0.568,0.447,0.547,0.049,0.047,0.187,0.120,0.057,0.120,0.173,0.586
8,8,0.653,0.446,0.499,0.000,0.000,0.000,0.000,0.214,0.000,0.161,0.000,0.715,0.456,0.574,0.000,0.000,0.047,0.327,0.000,0.000,0.239,0.311
9,9,0.680,0.481,0.669,0.000,0.000,0.013,0.138,0.000,0.115,0.278,0.301,0.641,0.420,0.563,0.042,0.072,0.093,0.071,0.000,0.134,0.077,0.271
10,10,0.812,0.333,0.824,0.000,0.000,0.000,0.000,0.000,0.000,0.586,0.000,0.657,0.534,0.611,0.000,0.000,0.000,0.172,0.000,0.258,0.195,0.107
11,11,0.781,0.503,0.558,0.000,0.000,0.042,0.408,0.121,0.154,0.404,0.326,0.826,0.557,0.664,0.000,0.143,0.155,0.451,0.000,0.081,0.198,0.198
12,12,0.768,0.522,0.583,0.000,0.000,0.000,0.238,0.000,0.055,0.346,0.096,0.732,0.504,0.596,0.000,0.000,0.078,0.363,0.000,0.000,0.167,0.359
13,13,0.557,0.493,0.517,0.106,0.141,0.105,0.203,0.000,0.000,0.131,0.000,0.469,0.474,0.448,0.074,0.061,0.020,0.348,0.000,0.000,0.061,0.071
14,14,0.713,0.391,0.617,0.029,0.035,0.018,0.155,0.002,0.124,0.425,0.217,0.623,0.439,0.580,0.020,0.067,0.046,0.109,0.002,0.084,0.250,0.201
