id	als	fr	de	en	valence	arousal	dominance	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	NRC_cosine	FEEL_cosine	avg_cosine	nb_checks
18	niesse;Niese;niese;niesen	éternuer;éternuement	niesen;Niesen	sneeze;sneezing	0.3602699167177921	0.5121015296924992	0.3409290138065038			0.312				0.477		0.8873218413838133	0.478028586674123	0.6826752140289682	0
19	durichschlupfe	se faufiler;se glisser	schleichen;Schleich	sneak;creep	0.3126966221345176	0.7024483702851683	0.4107903733172939	0.409			0.266			0.656		0.8629535193650064	0.3463991745877727	0.6046763469763896	0
20	schlich;Schlich;schliche;Schlicher;schleichen	se faufiler;ramper;se glisser	schleichen;Schleich	sneak;creep	0.3126967468948703	0.7024482027986672	0.4107902229212522	0.409			0.266			0.656		0.8629534901863813	0.2317365459189734	0.5473450180526773	0
21	Schlange;Schlang	serpents;serpent;vipère	Schlangen;Schlange	snakes	0.176	0.662	0.606				0.802					1.0	0.4395129803913489	0.7197564901956744	0
22	falsche;Fälsche;falschi;Falschi;falsch;falschen;falscher;flasch	faux;perfide;mal;sournois;postiche;hypocrite	schlau;fälschen	counterfeit;false;toupee;fake;sly	0.2622920797418359	0.5357194852850767	0.4426946189139666	0.375		0.328	0.156					0.8210142053054392	0.5038859376782616	0.6624500714918504	0
23	Hinterlischtig;hinterlischti	perfide;sournois;insidieux;vicieux	schlau	sly	0.4133505917733981	0.6154768349242499	0.6098270463833537	0.375		0.328	0.156					0.9944715479243826	0.8037511702300845	0.8991113590772335	0
24	witzig	spirituel;habile;adroit	witzig;geschickt	skillful	0.806116781880128	0.6378615313634383	0.8693874251243168								0.6949999999999998	0.9995986622531288	1.0	0.9997993311265644	0
25	g’schickt;g'schickt;gschickt;geschickt;geschickte;g'schickte	habile;adroit;agile	geschickt	agile;nimble;skillful	0.8088109111764948	0.6521682869372487	0.8441183503445996								0.695	0.9234143870179212	1.0	0.9617071935089608	0
26	üsretsche	glisser;déraper	Schleudern	skid	0.357	0.64	0.44	0.25			0.266		0.312			1.0	0.6498722306255704	0.8249361153127852	0
27	schleudra;schlüdere;schleudere	déraper	Schleudern	skid	0.357	0.64	0.44	0.25			0.266		0.312			1.0	0.4347295895946719	0.717364794797336	0
