FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint,period
jost-d-satisfaction,Camille Jost,NaN,Strasbourg,Bas-Rhin,1924,French era
jost-dr-erscht-handel,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
jost-e-dienschtbott-wurd-gsuecht,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
kleisecker-dr-schnider-von-gambse,H. Kleisecker,NaN,Strasbourg,Bas-Rhin,1920,French era
lasch-dr-babbler,Gustav Lasch,Strasbourg,Strasbourg,Bas-Rhin,1911,German era
riff-d-schloofere,Jean Riff,NaN,Strasbourg,Bas-Rhin,1914,German era
riff-dr-hasestrickler,Jean Riff,NaN,Strasbourg,Bas-Rhin,1922,French era
sengelin-d-mamsell-elis,Xavier Sengelin,NaN,Colmar,Haut-Rhin,1920,French era
stoskopf-e-diplomat,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1899,German era
stoskopf-e-mordsaffar,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1900,German era
stoskopf-wenn-d-fraue-wahle,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1925,French era
wagner-die-greifensteiner,Emile Wagner,NaN,Rouffach,Haut-Rhin,1930,French era
weber-am-wihnachtsowe-bym-e-kriejsblinde,Emile Weber,NaN,Strasbourg,Bas-Rhin,1927,French era
weber-e-bissel-lieb,Emile Weber,NaN,Gundershoffen,Bas-Rhin,1936,French era
weber-wihnachtsstimme,Charles Weber,NaN,Colmar,Haut-Rhin,1920,French era
weigel-in-dr-awril-gschickt,Madeleine Weigel,NaN,Mulhouse,Haut-Rhin,1930,French era
