,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
97,97,0.798,0.484,0.671,0.000,0.000,0.022,0.458,0.000,0.000,0.373,0.086,0.707,0.463,0.583,0.000,0.000,0.000,0.441,0.000,0.180,0.596,0.219
98,98,0.767,0.551,0.682,0.033,0.000,0.010,0.333,0.000,0.000,0.387,0.184,0.815,0.549,0.675,0.033,0.000,0.077,0.474,0.000,0.030,0.394,0.195
99,99,0.620,0.532,0.454,0.000,0.000,0.000,0.364,0.000,0.000,0.000,0.317,0.938,0.368,0.534,0.000,0.000,0.000,0.547,0.000,0.219,0.617,0.383
100,100,0.300,0.481,0.303,0.230,0.198,0.283,0.172,0.123,0.000,0.000,0.206,0.233,0.459,0.210,0.258,0.476,0.000,0.258,0.000,0.000,0.000,0.000
101,101,0.482,0.556,0.494,0.236,0.299,0.195,0.000,0.130,0.000,0.141,0.154,0.364,0.557,0.453,0.309,0.320,0.340,0.182,0.357,0.000,0.096,0.172
102,102,0.706,0.552,0.615,0.088,0.154,0.000,0.208,0.000,0.000,0.285,0.000,0.626,0.477,0.500,0.056,0.041,0.038,0.109,0.080,0.000,0.233,0.103
103,103,0.146,0.638,0.290,0.691,0.594,0.615,0.000,0.368,0.000,0.000,0.000,0.569,0.504,0.504,0.297,0.199,0.183,0.266,0.137,0.264,0.258,0.096
104,104,0.605,0.468,0.434,0.000,0.000,0.000,0.416,0.099,0.000,0.218,0.207,0.652,0.379,0.623,0.000,0.000,0.000,0.391,0.000,0.000,0.000,0.258
105,105,0.626,0.527,0.487,0.000,0.000,0.146,0.333,0.282,0.000,0.000,0.000,0.539,0.489,0.471,0.144,0.098,0.000,0.123,0.185,0.000,0.121,0.000
106,106,0.543,0.417,0.549,0.038,0.094,0.070,0.000,0.000,0.000,0.000,0.317,0.510,0.507,0.640,0.180,0.166,0.207,0.000,0.144,0.000,0.244,0.227
107,107,0.659,0.445,0.714,0.025,0.063,0.078,0.182,0.000,0.000,0.398,0.161,0.594,0.500,0.671,0.164,0.119,0.150,0.109,0.074,0.000,0.434,0.097
108,108,0.618,0.484,0.567,0.000,0.152,0.000,0.436,0.078,0.000,0.256,0.267,0.286,0.361,0.325,0.000,0.539,0.000,0.000,0.312,0.000,0.000,0.000
109,109,0.696,0.371,0.385,0.000,0.000,0.000,0.000,0.000,0.086,0.262,0.141,0.689,0.374,0.534,0.000,0.000,0.000,0.137,0.000,0.098,0.398,0.166
110,110,0.574,0.450,0.591,0.097,0.111,0.028,0.109,0.000,0.000,0.261,0.000,0.558,0.471,0.471,0.041,0.225,0.000,0.109,0.244,0.169,0.256,0.077
111,111,0.739,0.393,0.692,0.000,0.000,0.000,0.164,0.000,0.000,0.660,0.000,0.587,0.459,0.584,0.228,0.121,0.160,0.277,0.000,0.055,0.287,0.096
112,112,0.629,0.453,0.519,0.161,0.108,0.137,0.144,0.170,0.203,0.281,0.378,0.421,0.480,0.520,0.222,0.069,0.092,0.000,0.067,0.000,0.225,0.059
113,113,0.523,0.548,0.559,0.197,0.150,0.221,0.161,0.195,0.000,0.181,0.043,0.467,0.531,0.593,0.219,0.110,0.237,0.107,0.143,0.027,0.345,0.048
114,114,0.556,0.459,0.459,0.025,0.063,0.047,0.111,0.000,0.258,0.000,0.167,0.324,0.729,0.693,0.456,0.242,0.321,0.000,0.000,0.000,0.227,0.000
115,115,0.422,0.469,0.382,0.115,0.111,0.187,0.339,0.187,0.109,0.068,0.234,0.082,0.569,0.260,0.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000
