,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
28,29,0.665,0.413,0.605,0.000,0.000,0.052,0.237,0.066,0.082,0.418,0.194,0.729,0.441,0.689,0.000,0.000,0.055,0.241,0.099,0.154,0.442,0.106
29,30,0.691,0.532,0.658,0.000,0.000,0.000,0.000,0.000,0.000,0.363,0.000,0.666,0.398,0.628,0.000,0.000,0.000,0.000,0.000,0.000,0.656,0.000
30,31,0.619,0.342,0.611,0.187,0.000,0.068,0.186,0.052,0.000,0.228,0.000,0.668,0.349,0.594,0.187,0.000,0.068,0.305,0.052,0.000,0.224,0.000
31,32,0.542,0.628,0.689,0.156,0.000,0.000,0.096,0.000,0.086,0.211,0.214,0.606,0.431,0.544,0.007,0.000,0.031,0.173,0.000,0.204,0.207,0.387
32,33,0.417,0.555,0.489,0.078,0.115,0.181,0.121,0.000,0.000,0.203,0.158,0.495,0.519,0.573,0.090,0.000,0.162,0.048,0.000,0.073,0.296,0.368
33,34,0.526,0.456,0.577,0.052,0.000,0.146,0.000,0.187,0.000,0.435,0.000,0.541,0.468,0.605,0.000,0.000,0.129,0.169,0.144,0.000,0.305,0.000
34,35,0.689,0.430,0.709,0.000,0.000,0.000,0.231,0.000,0.000,0.697,0.000,0.709,0.440,0.518,0.000,0.000,0.059,0.122,0.000,0.000,0.365,0.285
35,36,0.521,0.407,0.519,0.019,0.199,0.035,0.072,0.078,0.065,0.164,0.160,0.625,0.434,0.566,0.020,0.077,0.029,0.075,0.039,0.055,0.353,0.156
36,37,0.591,0.386,0.531,0.011,0.027,0.058,0.148,0.076,0.029,0.285,0.272,0.570,0.532,0.607,0.000,0.000,0.239,0.067,0.168,0.256,0.390,0.137
37,38,0.396,0.795,0.595,0.365,0.000,0.436,0.243,0.222,0.000,0.000,0.000,0.517,0.505,0.647,0.150,0.000,0.185,0.000,0.000,0.000,0.417,0.000
38,39,0.526,0.387,0.465,0.000,0.000,0.188,0.082,0.226,0.000,0.197,0.133,0.643,0.416,0.570,0.015,0.038,0.081,0.201,0.106,0.000,0.158,0.106
39,40,0.691,0.431,0.585,0.013,0.031,0.023,0.320,0.000,0.034,0.177,0.180,0.664,0.590,0.645,0.219,0.273,0.373,0.339,0.322,0.000,0.000,0.000
40,41,0.758,0.527,0.606,0.015,0.038,0.028,0.391,0.000,0.000,0.127,0.000,0.586,0.459,0.553,0.144,0.225,0.171,0.171,0.107,0.025,0.160,0.187
41,42,0.676,0.471,0.571,0.027,0.051,0.065,0.214,0.055,0.150,0.243,0.091,0.668,0.471,0.555,0.053,0.085,0.068,0.239,0.048,0.084,0.341,0.122
42,43,0.706,0.492,0.636,0.010,0.054,0.005,0.190,0.007,0.057,0.377,0.070,0.649,0.477,0.575,0.065,0.039,0.089,0.344,0.034,0.026,0.318,0.153
43,44,0.641,0.538,0.548,0.073,0.091,0.124,0.173,0.251,0.052,0.300,0.195,0.760,0.466,0.575,0.000,0.000,0.051,0.414,0.000,0.062,0.534,0.319
44,45,0.651,0.439,0.526,0.000,0.061,0.000,0.246,0.071,0.080,0.248,0.177,0.627,0.412,0.538,0.000,0.055,0.000,0.212,0.028,0.117,0.283,0.234
45,46,0.466,0.550,0.402,0.000,0.211,0.000,0.000,0.190,0.000,0.000,0.000,0.810,0.589,0.648,0.000,0.029,0.000,0.642,0.009,0.124,0.368,0.411
46,47,0.583,0.475,0.500,0.031,0.043,0.124,0.185,0.104,0.041,0.289,0.158,0.697,0.399,0.617,0.000,0.000,0.028,0.094,0.000,0.030,0.577,0.225
47,48,0.603,0.494,0.580,0.101,0.099,0.090,0.121,0.089,0.000,0.315,0.105,0.457,0.551,0.533,0.000,0.000,0.310,0.000,0.113,0.000,0.291,0.133
48,49,0.570,0.591,0.464,0.144,0.176,0.000,0.299,0.000,0.000,0.109,0.262,0.643,0.401,0.519,0.000,0.245,0.085,0.140,0.000,0.000,0.000,0.159
49,50,0.676,0.502,0.681,0.040,0.000,0.014,0.180,0.060,0.032,0.406,0.205,0.499,0.563,0.668,0.239,0.164,0.188,0.136,0.260,0.124,0.164,0.117
50,51,0.582,0.439,0.516,0.057,0.070,0.016,0.122,0.066,0.117,0.129,0.135,0.615,0.514,0.624,0.057,0.070,0.016,0.141,0.000,0.052,0.192,0.171
51,52,0.547,0.505,0.539,0.095,0.136,0.099,0.142,0.192,0.000,0.304,0.070,0.653,0.488,0.587,0.000,0.000,0.000,0.189,0.100,0.000,0.407,0.000
52,53,0.692,0.453,0.637,0.161,0.108,0.137,0.303,0.170,0.162,0.373,0.282,0.685,0.456,0.656,0.000,0.027,0.000,0.235,0.024,0.125,0.558,0.325
53,54,0.482,0.606,0.577,0.000,0.000,0.375,0.000,0.258,0.375,0.293,0.000,0.567,0.518,0.542,0.216,0.145,0.184,0.094,0.191,0.036,0.201,0.267
54,55,0.632,0.457,0.550,0.015,0.038,0.103,0.252,0.000,0.000,0.155,0.166,0.714,0.410,0.609,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.384
55,56,0.720,0.554,0.621,0.013,0.031,0.023,0.397,0.000,0.174,0.193,0.312,0.831,0.488,0.668,0.000,0.000,0.000,0.547,0.000,0.000,0.441,0.286
56,57,0.728,0.519,0.554,0.019,0.047,0.035,0.356,0.000,0.000,0.130,0.000,0.708,0.565,0.671,0.219,0.273,0.373,0.344,0.322,0.000,0.359,0.000
57,58,0.623,0.372,0.623,0.019,0.047,0.035,0.082,0.000,0.000,0.490,0.000,0.753,0.595,0.659,0.109,0.136,0.187,0.405,0.161,0.000,0.283,0.139
58,59,0.597,0.577,0.563,0.171,0.195,0.230,0.301,0.167,0.183,0.088,0.263,0.678,0.552,0.558,0.087,0.109,0.149,0.388,0.248,0.078,0.242,0.128
59,60,0.661,0.511,0.603,0.025,0.063,0.047,0.243,0.000,0.000,0.190,0.000,0.602,0.445,0.518,0.000,0.000,0.000,0.574,0.000,0.000,0.000,0.000
60,62,0.668,0.543,0.657,0.015,0.038,0.028,0.196,0.000,0.184,0.344,0.219,0.731,0.442,0.612,0.000,0.072,0.057,0.392,0.000,0.000,0.359,0.000
61,63,0.662,0.496,0.522,0.000,0.000,0.000,0.364,0.000,0.000,0.262,0.000,0.732,0.640,0.438,0.000,0.000,0.000,0.728,0.000,0.000,0.000,0.000
62,64,0.742,0.447,0.665,0.000,0.000,0.000,0.182,0.000,0.022,0.432,0.121,0.725,0.484,0.655,0.000,0.000,0.016,0.140,0.000,0.000,0.468,0.107
63,65,0.676,0.504,0.649,0.000,0.000,0.129,0.169,0.000,0.000,0.427,0.293,0.664,0.507,0.591,0.087,0.109,0.149,0.238,0.129,0.000,0.122,0.416
64,66,0.665,0.476,0.557,0.013,0.031,0.023,0.202,0.063,0.000,0.254,0.000,0.703,0.372,0.571,0.000,0.000,0.000,0.121,0.000,0.000,0.240,0.288
65,67,0.624,0.423,0.549,0.013,0.031,0.068,0.242,0.088,0.000,0.174,0.082,0.647,0.564,0.599,0.073,0.091,0.153,0.151,0.107,0.126,0.246,0.167
66,68,0.630,0.513,0.569,0.121,0.127,0.111,0.206,0.080,0.097,0.099,0.000,0.679,0.641,0.660,0.146,0.182,0.249,0.226,0.215,0.156,0.000,0.000
67,69,0.699,0.428,0.617,0.000,0.000,0.000,0.291,0.000,0.148,0.487,0.211,0.706,0.434,0.581,0.000,0.000,0.000,0.367,0.000,0.245,0.154,0.159
68,70,0.555,0.518,0.504,0.052,0.000,0.146,0.425,0.187,0.000,0.000,0.000,0.706,0.686,0.668,0.000,0.000,0.086,0.338,0.000,0.176,0.270,0.582
69,71,0.680,0.426,0.563,0.065,0.040,0.000,0.338,0.000,0.031,0.275,0.055,0.655,0.406,0.490,0.000,0.000,0.029,0.302,0.048,0.027,0.241,0.125
70,72,0.760,0.411,0.713,0.000,0.000,0.022,0.346,0.000,0.052,0.395,0.214,0.748,0.505,0.674,0.000,0.000,0.025,0.198,0.000,0.128,0.402,0.366
