schnall => schnalle
Flint => Flinten
Korn => Korn
G’schräij => Gschrei
geje => geje
Hunger => Hunger
Harre => Herr
hält => halte
hoch => höcher
elektrisch => Elektrisch
Rühe => riawig
Harre => Herr
elektrisch => Elektrisch
grad => gradi
Anfang => anfang
gratis => gratis
Buckel => buckel
Tumult => Tumult
Ruhe => riawig
Rühe => riawig
ruehj => ruewie
Sitzung => Sitzunge
uf => üf
Wunderfitzi => wunderfizi
Ju => Ja‚
Söij => Soi
latz => letzi
freudig => Fräid
erregt => ufgeregt
Harre => Herr
Schnell => schnalle
uf => üf
Ju => Ja‚
kumme => kumme
Hüs => Huus
Gemäind => Gemäind
Guet => Guten
Pläsir => Plaisir
gueter => Guten
Mansch => Menscha
junge => Jungi
licht => leichte
Ja => Ja‚
guet => Guten
junger => Jungi
Vater => Vadder
Gald => Gald
lichtsinni => Lychtisinni
Eltere => Aelterer
schnall => schnalle
Ju => Ja‚
schnall => schnalle
Ja => Ja‚
guet => Guten
Gald => Gald
schöene => schen
gueter => Guten
Karne => Karne
halt => halte
haller => hel
Glüeck => Glüeck
gemacht => gemachti
Jaa => Ja‚
freij => freia
Kamerad => Kamerad
racht => rachte
allewil => Allewil
allewill => Allewil
Herr => Herr
Gemäind => Gemäind
Guet => Guten
Harre => Herr
elektrisch => Elektrisch
racht => rachte
Kaib => Käib
zahle => zehl
Gald => Gald
Hüs => Huus
Lamp => Lamp
natti => natt
Lampe => Lamp
uf => üf
Beifall => Beifall
Opposition => Opposition
Durscht => Durst
Hunger => Hunger
Harre => Herr
güet => Guten
gläub => Glöüwe
elektrisch => Elektrisch
racht => rachte
Harz => Härze
Harre => Herr
elektrisch => Elektrisch
hoch => höcher
Schwefel => Schwefel
Elektrisch => Elektrisch
Guete => Guten
Wohnzimmer => Wohnzimmer
Hof => Hoft
dunkle => dunkle
langer => langer
schwarzer => schwarzer
Streifer => Streifer
langer => langer
Gesicht => G'sicht
helle => hel
schwarze => schwarzer
kleine => Kläiner
rote => rot
aufgeregt => aufgeregter
uf => üf
kumm => kumme
kumme => kumme
uf => üf
fahle => fähle
Ja => Ja‚
halt => halte
