drama_type,speaker,sex,job,social_class,text
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Jettele un Edi.
Jà do... das wisse mir halt selwer nitt!...
"
unknown,FRANZ,M,,,"Franz.
's isch viellicht d'Insle Pipi!...
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Jetz si mr wieder emol schön do!... 's beste wàr halt,
                        mr kännte se verlo, die Insle... awer wie?...
                    
"
unknown,JETTELE,F,,,"Jettele
(wo hintere gange-n-isch)
Ne Schiff, Pape... ne Schiff! mr sin g'rettet!
"
unknown,alle,B,,,"Alle.
Wo, wo?...
"
unknown,JETTELE,F,,,"Jettele.
Dert... in dr Wite... me sieht erst efange d'Segel!...
                    
"
unknown,EDI,M,,,"Edi.
Ich sieh nit!...
"
unknown,FRANZ,M,,,"Franz.
Doch dert!... me müess e Signal gà!...
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Edi, loss e Kanoneschutz los!...
"
unknown,EDI,M,,,"Edi.
Mit was, Schwiegervater?...
"
unknown,JETTELE,F,,,"Jettele.
We me ne Fahne thàt mache!
"
unknown,FRANZ,M,,,"Franz.
Do isch mi Nastüech 
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Das isch z'klei!... wer zieht si Hem üs?...
"
unknown,EDI,M,,,"Edi.
Mir nitt, denn mir hàn scho lang keis meh!...
"
unknown,JETTELE,F,,,"Jettele.
Se hàn is g'sàh... se kämme... sàhn ihr, wie's Schiff
                        grösser wird!...
                    
"
unknown,FRANZ,M,,,"Franz.
Endlig werde mir denn jetz g'rettet un kämme wieder uf
                        Milhüse z'ruck!....
                    
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
"
