drama_type,speaker,sex,job,social_class,text
unknown,KÀTELE,F,,,"Kàtele
(kunnt ine links)
Weisst's dr Cüsin vom Testament oder weisst er's
                        nitt?... das isch jetz d'Frog wenn er's nitt weisst, so
                        isch mi Entschluss g'fasst... ich mach, ass er mich
                        nitt will, ass ich d'ganze Summe bikumm, derno isch mi
                        Vater g'rettet... si Ehr geht vor mim Glick...
"
unknown,FRANZ,M,,,"Franz
(kunnt ine rechts , er hat e Pàckle Baüele im e
                        Papier ig'wickelt in dr Hand)
                    
Eh, tiens!... mi liewe Cüsine!... Dü machsch awer
                        e-n-ernsthaft G'sicht hit, Kàtele... isch Dr e
                        Spinne-n-iwer dr Weg g'loffe?
"
unknown,KÀTELE,F,,,"Kàtele.
Un Dü... was sieh-n-i... witt ebbe scho wieder furt, ass
                        De dr Kuffer fire süechsch?...
                    
"
unknown,FRANZ,M,,,"Franz.
Ganz un gar nitt!... obscho Dü mich glaüb nitt gross
                        thàtsch z'ruckhalte... mit allem dem, los, Kàtele,
                        wàr's besser, wenn Dü mir thàtsch jetz emol ufrichtig
                        nei sage, wenn Dü mich nitt hirothe witt...
                    
"
unknown,KÀTELE,F,,,"Kàtele
(fir sich)
Er weisst 's un will mich mache z'refüsiere!
"
unknown,FRANZ,M,,,"Franz.
's wàr awer g'wiss' schad, denn mir thäte doch g'wiss
                        glicklig werde mitnander...
                    
"
unknown,KÀTELE,F,,,"Kàtele
(fir sich)
Nei... er weisst's nitt!
"
unknown,FRANZ,M,,,"Franz.
Ich uf jedefall refüsier nitt...
"
unknown,KÀTELE,F,,,"Kàtele
(fir sich)
Doch, er weisst's!
"
unknown,FRANZ,M,,,"Franz.
Wil ich weiss, ass uns're-n-Eltre Freid dra hätte, un
                        wil ich Dich gern ha.
                    
"
unknown,KÀTELE,F,,,"Kàtele
(fir sich)
Décidément, er weisst's nitt!... ich will ne jetz scho
                        mache refüsiere!
"
unknown,FRANZ,M,,,"Franz.
Ah so!
"
unknown,KÀTELE,F,,,"Kàtele.
Un jalouse bin i!...

            
"
unknown,KÀTELE,F,,,"
              
"
unknown,FRANZ,M,,,"Franz.

              
"
unknown,FRANZ,M,,,"Franz.
So... so!...
"
unknown,WALTHER,M,,,"Walther
(kunnt hinte-n-ine)
Was hör i... ich glaüb, ihr dispetiere mitnander?...
"
unknown,FRANZ,M,,,"Franz.
Dü kunnsch grad recht, Oncle... ich ha-n-ebbes mit Dir
                        z'rede... grad hat mr 's Kàtele verzählt, was es fir e
                        schlechter Charakter hat... hingege müess ich 
"
unknown,WALTHER,M,,,"Walther
(züem Franz)
E-n-Aügesblick... ich ka-n-eüch nitt eso üsnander lo
                        geh, denn ich merk jetz scho, was mag vorgange si... 's
                        Kàtele hat sich sacrificiert fir mich z'rette... De
                        müesch ewe wisse, ass mir dr Kontrakt vo minre Lehnung,
                        wo-n-ich scho zahlt g'ha ha, verlore gange-n-isch un
                        ass me mir jetz 's Geld noch emol verlangt derfir... 's
                        macht ung'fàhr zwanzigtaüsend Franke, un die Summe
                        z'biku, hat 's Kàtele Dich welle mache si Hand
                        z'refüsiere...
                    
"
unknown,FRANZ,M,,,"Franz
(kunnt z'ruck un nimmt im Kàtele si Hand)
Isch's möglig, Kàtele!... worum hasch mir's awer nitt
                        glich g'stande... wenn mir o hirothe mitnander, so
                        känne mir jo doch das Geld awende, fir im Vater si
                        Schuld z'zahle.
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Merci, Franz... awer wenn im Vater si Schuld o zahlt
                        wàr, so thàt ihm doch nit bliwe-n-un ich ha mich nitt
                        känne-n-entschliesse, ihn z'verlo im Unglick...
                    
"
unknown,WALTHER,M,,,"Walther.
Bàh, bàh, bàh... bekümmere-n-ihr eüch nitt um mich...
                        ich will mich scho do drüs zieh!... ihr sin brave
                        Kinder un werde g'wiss glicklig mitnander... mach nur
                        Di Kuffer wieder absite, Franz...
"
unknown,FRANZ,M,,,"Franz.
Ich ha's grad awebrocht... 's isch in mim Kastefüess
                        g'lege... ich ha-n-ebbas welle-n-iwickle mit dàre
                        Baüele...
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Aha... das isch dr Schang wieder gsi... dà Kaste-n-isch
                        als in sim Zimmer g'stande un do wird er's dri g'legt
                        ha... awer worum...
                    
"
unknown,WALTHER,M,,,"Walther.
Mir sin g'rettet, Kàtele!... do steht schwarz uf wiss,
                        ass ich zahlt ha...
                    

            
"
unknown,WALTHER,M,,,"Walther.

              
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Franz un Kàtele.

              
"
unknown,SCHANG,M,domestic_worker,,"Schang
(kunnt hinte-n-ine ku z'laüfe mit eme Bund Hài un e
                        Brief)
                    
Hài hat er welle!... 's isch mr erst nochher iku...
                        Schang làng Hài... das isch jo Milhüserditsch un nitt
                        chinesisch... enfin, me ka sich jo trumpiere...
"
unknown,WALTHER,M,,,"Walther.
Schang... zeig, kumm do ane... was isch das fir Baüele
                        do?...
                    
"
unknown,SCHANG,M,domestic_worker,,"Schang.
Das?... Das isch mi Baüele fir in d'Ohre, wenn ich als
                        Zahnweh ha... wer hat mir se-n-üsg'fiehrt?...
                    
"
unknown,WALTHER,M,,,"Walther.
Un das Papier, wo se drig'wickelt gsi isch, wo hasch das
                        her?...
                    
"
unknown,SCHANG,M,domestic_worker,,"Schang.
Jà do!... das weiss ich nimmig... 's isch scho gar lang,
                        ich glaüb, 's isch emol uf em Tisch g'lege-n-oder uf em
                        Secretaire...
                    
"
unknown,WALTHER,M,,,"Walther.
C'est ça... un do hasch Dü's gli miesse nàh, fir Di
                        Baüele dri iz'wickle... Dü Tippel!
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Dü müesch em verzeihe, Vater... De weisch jo, ass me
                        scho g'schosse hat an sinre Tàifete!... d'Haüptsach
                        isch, ass mr die Lehnung wieder g'funde hàn...
                    
"
unknown,WALTHER,M,,,"Walther
(züem Schang)
Un do... was hasch do in dr Hand
"
unknown,SCHANG,M,domestic_worker,,"Schang.
Das... das isch e Brief, wo dr Facteur grad brocht
                        hat.
                    
"
unknown,WALTHER,M,,,"Walther.
Worum gisch ne denn nitt
"
unknown,SCHANG,M,domestic_worker,,"Schang
(niesst)
Hàtschu!
"
unknown,FRANZ,M,,,"Franz
(züem Walther)
Son-tàï...
"
unknown,SCHANG,M,domestic_worker,,"Schang
(züem Franz)
Merci, Herr Chineser!...
"
unknown,FRANZ,M,,,"Franz
(ufg'regt)
Jetz, Kàtele, bruche mir keine Sorge meh z'ha... un nit
                        steht meh in unsrer Hiroth im Weg... 's isch e Brief vo
                        mim Vater, wo sàit, ass er wieder ins Elsass
                        z'ruckkunnt mit eme schöne Vermöge, wo mr g'wunne hàn
                        mit eme grossartige G'schàft, wo-n-im Gang gsi isch
                        siter ebbes Zit!
                    
"
unknown,SCHANG,M,domestic_worker,,"Schang.
Das isch nitt chinesisch!... wenn ebber Chance hat, so
                        isch's doch g'wiss dr Chineserfranz!...
                    

            
"
