words,idf
120,0.007987258184147354
200,0.011318025358129369
25,0.004305046225797305
ab,0.03863915192835941
abg,5.605170185988092
abga,0.004305046225797305
abkanzelt,0.004305046225797305
abläuift,0.004305046225797305
absah,0.004305046225797305
absetze,0.004305046225797305
abwarta,0.004305046225797305
abz,5.199705077879927
acht,0.007545350238752913
adie,0.004305046225797305
aelterer,5.605170185988092
ag,5.199705077879927
aglegt,0.007987258184147354
agwanda,0.004305046225797305
aha,5.605170185988092
ahna,0.01440515961325326
ahnung,5.199705077879927
aku,0.004305046225797305
alla,0.03653639053773127
alle,0.006137837593784932
allei,0.011318025358129369
allem,0.007987258184147354
allen,0.004305046225797305
alles,0.02592243210364486
allez,0.003993629092073677
alli,0.026742901489970654
als,0.05322740433935208
also,0.0066857253724926635
alta,0.015090700477505827
alter,0.01440515961325326
am,0.03154151159750499
amelie,4.912023005428146
amies,0.004305046225797305
amol,0.04819440611896073
amélie,3.659260036932778
amüsiere,5.605170185988092
an,0.02834856766736279
ana,0.004305046225797305
anah,0.004305046225797305
anahewa,0.004305046225797305
anander,0.004305046225797305
ander,0.004305046225797305
andera,0.007987258184147354
andere,0.007987258184147354
anderer,0.004305046225797305
anderschs,0.007987258184147354
anderst,0.00861009245159461
andlig,0.007987258184147354
andre,0.01440515961325326
angele,5.605170185988092
anglisch,0.004305046225797305
angst,4.688879454113936
anstoß,5.605170185988092
aparts,0.004305046225797305
apatitliger,0.004305046225797305
apparat,5.605170185988092
arg,0.007987258184147354
arm,0.007987258184147354
arrangiert,0.004305046225797305
as,0.018006449516566575
asse,0.007987258184147354
astandig,0.01440515961325326
astandiger,0.004305046225797305
astella,0.004305046225797305
auf,0.022682128090689254
aufgeregter,0.004305046225797305
aufschrift,5.605170185988092
auiga,4.688879454113936
aus,0.007987258184147354
ausbreitend,0.004305046225797305
ausser,0.004305046225797305
aussprechend,0.004305046225797305
auto,5.605170185988092
awa,0.004305046225797305
awer,0.057482975984762395
awril,4.218875824868201
awrilscharz,5.199705077879927
az,5.605170185988092
aß,0.025198726815433593
bang,5.605170185988092
barg,5.605170185988092
bat,5.605170185988092
batons,0.004305046225797305
batschwesch,5.605170185988092
bauernmädchen,5.605170185988092
bedingung,5.605170185988092
bedingunge,5.605170185988092
bedrachte,0.004305046225797305
bedüres,5.605170185988092
beginnt,0.004305046225797305
begleiten,0.004305046225797305
behandlung,5.605170185988092
bei,5.199705077879927
beide,4.912023005428146
beiden,0.004305046225797305
bekanntschaft,5.605170185988092
bekimmer,5.605170185988092
bekomm,0.011980887276221031
ben,0.004305046225797305
benama,5.605170185988092
bes,0.004305046225797305
bescheidener,0.004305046225797305
besser,0.007987258184147354
bessers,0.004305046225797305
betonend,0.003993629092073677
betrieb,0.004305046225797305
betriebt,0.004305046225797305
betrübt,0.004305046225797305
betta,0.004305046225797305
bewegung,5.605170185988092
bezahlt,0.004305046225797305
bi,0.032217755671551766
biacher,5.605170185988092
bibel,5.605170185988092
bien,0.022682128090689254
biespiel,5.605170185988092
bin,0.07653973290560148
bis,0.007545350238752913
bisch,0.007987258184147354
bittet,0.004305046225797305
bitzi,0.015090700477505827
biß,0.004305046225797305
blauer,0.004305046225797305
blib,0.004305046225797305
blibt,5.605170185988092
blind,4.352407217492724
blindlings,0.004305046225797305
bliwa,0.004305046225797305
bogen,5.605170185988092
bol,0.004305046225797305
bonjour,0.0069225159713056554
brief,5.605170185988092
brilla,5.605170185988092
brille,5.605170185988092
bringa,0.004305046225797305
bringsch,0.004305046225797305
bringt,0.004305046225797305
brocht,0.007987258184147354
brrr,0.004305046225797305
brüch,0.004305046225797305
brücht,0.01440515961325326
bsüch,5.605170185988092
buckel,0.004305046225797305
burscht,5.605170185988092
buschur,0.004305046225797305
bäume,5.605170185988092
büchlein,5.605170185988092
cadre,0.004305046225797305
catherine,5.605170185988092
chambre,0.007987258184147354
charme,0.004305046225797305
chef,0.004305046225797305
chic,0.004305046225797305
chère,0.011318025358129369
combiniert,0.004305046225797305
compagnie,0.004305046225797305
corday,5.605170185988092
corvée,0.004305046225797305
coulisse,0.0034612579856528277
crème,5.605170185988092
da,0.02340003880372432
dam,0.030689187968924662
dame,0.004305046225797305
damen,5.199705077879927
dana,0.011318025358129369
danke,4.912023005428146
dankt,0.011318025358129369
danne,0.004305046225797305
dara,0.01440515961325326
das,0.09087909884115633
dat,0.017306289928264138
data,0.007987258184147354
daß,0.05409481269970317
de,0.03295287483198643
deck,0.007987258184147354
dem,0.007987258184147354
demoiselles,0.004305046225797305
den,0.020767547913916964
denn,0.07203739567586022
denselben,0.004305046225797305
der,0.004305046225797305
derbi,0.01440515961325326
deren,0.004305046225797305
derf,0.011318025358129369
derft,0.004305046225797305
derhinter,0.004305046225797305
dermit,0.007987258184147354
dernawa,0.007987258184147354
derno,0.011318025358129369
dert,0.017306289928264138
dervu,0.004305046225797305
derzüe,0.004305046225797305
desto,0.004305046225797305
deßletscht,5.605170185988092
di,0.030689187968924662
dia,0.004305046225797305
die,0.08005593977897671
dieselben,0.004305046225797305
difficile,0.007987258184147354
dina,0.007987258184147354
diner,0.004305046225797305
ding,5.199705077879927
dings,5.199705077879927
dini,0.004305046225797305
dinre,0.007987258184147354
diplom,5.605170185988092
dir,0.004305046225797305
ditliger,0.004305046225797305
do,0.10142681142029109
doch,0.08728896353241697
domestiques,0.004305046225797305
dorf,5.605170185988092
dr,0.08734930352774506
dra,0.018006449516566575
drei,0.015090700477505827
drewer,0.004305046225797305
drgega,0.004305046225797305
dri,0.004305046225797305
drin,0.01440515961325326
