shortName,drama_type,anger,anticipation,arousal,disgust,dominance,fear,joy,sadness,surprise,trust,valence
am-letzte-maskebal,comedy,0.17652065219854274,0.14177445951580572,0.5486265312712489,0.11288760579962848,0.5425090880603226,0.1849339048101493,0.2303924763183206,0.11303699270959712,0.15220640388726944,0.1287945030671562,0.5621723826305813
arnold-der-pfingstmontag,comedy,0.0770404912060153,0.1522356710705682,0.4864097464725752,0.06371655249032597,0.5628903553527298,0.09226127702618066,0.2171186909170517,0.07500114083785156,0.050339886679481465,0.22479356094221306,0.6035311052576647
babette-mach-s-fenster-zue,comedy,0.13080003989208844,0.10943509024168413,0.48474733990258295,0.06862940965831191,0.5719017430742608,0.15193236259894594,0.1451670647405874,0.0397938332847001,0.05105095078290732,0.13267915246758147,0.5768756566184255
bastian-dr-hans-im-schnokeloch,comedy,0.08449928476442213,0.1784796427725056,0.5063245640684404,0.06894987733282835,0.5376248736239579,0.08554191992784668,0.24802294562914917,0.08593942835896516,0.07289289581168547,0.18856440684818335,0.5995058253634017
bastian-dr-maischter-hett-gewunne,comedy,0.08760485894760904,0.1701427982813327,0.5089788884606448,0.06852720854729456,0.5701599241150214,0.08650056883377133,0.22618704277076326,0.07828754530629783,0.06146117933842315,0.19703060560336408,0.5914330955288826
bastian-e-sportschochzitt,comedy,0.06423436192655128,0.1687861934682686,0.5286359694181698,0.044079348118664104,0.5810401095093175,0.07106984082770613,0.2618510979347615,0.07338086782688072,0.0664565400474803,0.20058042801460724,0.6151953032960334
bastian-e-sportshochzitt,comedy,0.064915015777653,0.16965813530370827,0.5303310337339421,0.04325850698314264,0.578435056728181,0.07236922725507305,0.2655623537116124,0.07482462084482663,0.06716520075131645,0.1953574987578926,0.6149795674338988
bastian-hofnarr-heidideldum,tale,0.08482987347496858,0.14805243507213114,0.521605537838489,0.08017976280271066,0.5534841924659999,0.10311229114328245,0.21883757511454494,0.08623634834683906,0.08740596439570285,0.1792930847031611,0.5760355429125056
bastian-s-gaischtert-im-huss,horreur,0.13226744057456766,0.06888003374282496,0.4940567861201393,0.07465585665424535,0.5467297616751478,0.09536245008977001,0.2384764925670555,0.06429149662938305,0.07666442650165703,0.11708036047887292,0.5645681243519394
bastian-struwelpeter,tale,0.13602738647233473,0.14739907984529155,0.528812270088134,0.1183448165027645,0.5668455324282617,0.1455076486531963,0.18590027808043594,0.10844292490933181,0.08984689583594625,0.21675296302645783,0.5502615269476016
