shortName,drama_type,polarity,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
am-letzte-maskebal,comedy,-3,0.2280267123967031,0.23509406371223873,0.23422751733041336,0.16772812317158003,0.0831225538040763,0.1707257438239145,0.1650574330522915,0.09623181534742428,0.12347365834861365,0.08674897040780169,0.10691170204429794
arnold-der-pfingstmontag,comedy,-106,0.09021648570577365,0.06406078429576377,0.08278984131798096,0.06892223761450607,0.0535498393803048,0.07717914545559441,0.3706033750820528,0.05003142853552057,0.03406624663133835,0.22471539973910823,0.12093232756157489
babette-mach-s-fenster-zue,comedy,-10,0.3470015397702893,0.31668547855039664,0.37560291436546217,0.2923335608628507,0.14699362569142346,0.3603145613235686,0.08986442476548849,0.008244540108566342,0.01437833743978862,0.03595376931625222,0.05191718049206169
bastian-dr-hans-im-schnokeloch,comedy,-114,0.07484959589115167,0.056338085121241124,0.061884140878924694,0.04568017349867768,0.042730990032364725,0.04522281734978543,0.410047036940382,0.04504213580067728,0.04652836013314755,0.1776773263906483,0.18707115985431716
bastian-dr-maischter-hett-gewunne,comedy,-6,0.09432187336493898,0.0729953086962587,0.09197357031149861,0.06725169295804537,0.0906707413221905,0.08371954003852544,0.3380732533915413,0.03411680025434076,0.03122359020618798,0.186949345532908,0.16799503629626056
bastian-e-sportschochzitt,comedy,-5,0.12424985938479456,0.0911527928573971,0.11640964185193423,0.029390006005391517,0.020762276429947976,0.04262693448171277,0.5234103950887758,0.03959712893445159,0.056139160106090366,0.17511558311789255,0.11295851583573731
bastian-hofnarr-heidideldum,tale,-126,0.07220517262372902,0.05943958808468249,0.07098214713673472,0.07036656040317413,0.10671986185310955,0.10671238466252644,0.31745106427300557,0.04786006391490391,0.10379892449417302,0.132429010080703,0.11466213031840447
bastian-s-gaischtert-im-huss,horreur,-18,0.14943951573023864,0.11712292764804251,0.14201315988770866,0.13643228861537765,0.07845846228317126,0.07391442288374757,0.4041371837986681,0.048681246830706015,0.06478352466951916,0.14627162152815093,0.04732124939065927
bastian-struwelpeter,tale,-109,0.12583587695100185,0.14837096294803181,0.1550552337233562,0.15748181379448264,0.14891549496507542,0.17076144241272634,0.11749600012191296,0.11697979709954903,0.10626078103483301,0.08890039372276862,0.09320427684865193
bi-de-wilde,comedy,-7,0.3934223619607334,0.36426462327739495,0.3871292733432604,0.10801136339397416,0.08942816667869521,0.17729029548072564,0.1108516805547795,0.0792616063711385,0.12205701327761308,0.06389961262985035,0.24920026161322376
clemens-a-latzi-visit,comedy,-35,0.13840236376763537,0.10982108369601971,0.12766583298958356,0.05009162320588082,0.05498071906455837,0.06729097032936351,0.3836844992161663,0.04364214922696076,0.08582061237320132,0.2091975805978024,0.10529184598606649
clemens-charlot,comedy,-62,0.07127707901985912,0.05710460208599842,0.06500100883541149,0.07444476595732073,0.05672454085088411,0.10144148223257986,0.3031401647848743,0.07697148586850214,0.0661816348679708,0.17085121301541611,0.15024471242245194
clemens-chrischtowe,tale,-37,0.531161060342832,0.21835335111164672,0.39851186013824846,0.006228972839090918,0.004565636340603719,0.01339250709864742,0.1252324723308706,0.01508839031494897,0.007459525808629126,0.7713613543749972,0.056671140892212056
clemens-d-brueder,comedy,-101,0.13096122113022382,0.09133845846449935,0.11942811510845698,0.06502781380440362,0.044891409418386395,0.05316053147456701,0.3381405910501799,0.04466629149369038,0.05878568347325579,0.2659207242393423,0.12940695504617444
clemens-dr-amerikaner,comedy,-118,0.25762301286950995,0.2372052020518245,0.21645536987030423,0.42333200100659146,0.0216536562541224,0.03460135020401917,0.20784660692211127,0.13012047295323942,0.04201275397431862,0.09443065513625504,0.046002503549342565
clemens-gift,comedy,-69,0.1263267734108449,0.12213427711341625,0.1382158747138022,0.11854388960915131,0.11788019936856223,0.15764253955838572,0.19926256456961866,0.13915359757580767,0.029775388744414898,0.19454808923586348,0.04319373133819609
d-gsellschaftere,comedy,14,0.5728830262407787,0.46793862659709046,0.4929144259183244,0.09983283189031567,0.4386689614286246,0.11174179075284393,0.031227848951289848,0.0034675710415048165,0.002680585350892549,0.2975173585953996,0.014863051989129055
d-huslit-vo-dr-frau-suppedunke,comedy,-17,0.5124211176324592,0.42142543756436146,0.5483530436077926,0.2441815145140382,0.24630236873198585,0.3255123884386354,0.05138571948229122,0.007255151110823067,0.0090483057294802,0.08769205261023284,0.02862249938251338
d-milhuser-in-paris,comedy,-8,0.8222419150359525,0.5928689790735424,0.8844495085396298,0.1941141870151537,0.39281736291690683,0.33158857309208717,0.040989962274687555,0.0026730176064987733,0.004031371176229279,0.023717661124722005,0.010067864793714874
d-singstund,comedy,-35,0.4300339429470546,0.36894527348721445,0.469910104662306,0.27605230977868606,0.20932457168589347,0.36121250871931326,0.07214058873236882,0.0023947253945954985,0.0035476830406086395,0.0467078291960049,0.028619783452529374
d-tante-domino,comedy,-5,0.5775159591568101,0.5462571492208366,0.6381632590229191,0.2345499416742808,0.1725022370796493,0.29414494885662484,0.047869026959969904,0.09806888547439069,0.008846037731472817,0.11531883756737253,0.02870008465623926
dr-astronom,comedy,3,0.708623382517998,0.4824103785355091,0.6116156957240514,0.07468789763503994,0.10914966844084624,0.11394691757146472,0.06664392234926367,0.0061703492399356455,0.019433550561945873,0.5912343648637907,0.018733329337713177
dr-chineserfranz,comedy,11,0.4352251354028095,0.34872963374459603,0.47079039965898406,0.23599906444089672,0.25649504628031194,0.3361499092747428,0.06555689835862094,0.008697700117791564,0.01329893987487306,0.04227035158985825,0.041532090062904536
dr-fechtmeister,comedy,-3,0.3772595536253969,0.3730061420656437,0.3626821961642773,0.19068483242487272,0.005454924663496065,0.31558291678927886,0.07099371455799172,0.007878428853154497,0.01872093821948391,0.06370078512478337,0.3269834593669389
dr-hochzitstag,comedy,3,0.6322428527930267,0.5732499918649423,0.7350441546302343,0.2550343024474639,0.24973750580263818,0.2761788116037316,0.05306385804604393,0.13276621314023954,0.0036307696715409885,0.016542895622114553,0.0130456436662273
drei-schwarze-liebschafte,comedy,-10,0.39628520773088627,0.32161735926105894,0.3977664725624466,0.15128775555995674,0.0623506342011239,0.15828524189537435,0.222555489124486,0.004446726570338458,0.06268485458993221,0.152630325352026,0.18575897270676234
fuchs-heimlichi-lieb,drama,-92,0.15940036240509145,0.12077201850358762,0.14806664886326526,0.07568584906262688,0.021102773788326794,0.0925995297505189,0.25545326293077353,0.02661899323991156,0.08164234988019949,0.20206444267820456,0.24483279866943838
greber-d-jumpfer-prinzesse,drama,-141,0.07521127436023657,0.05063510806854664,0.06377569634484494,0.03667230837527253,0.047207103304603634,0.052397034912652025,0.36025015687325274,0.045370708721844816,0.022520782930471935,0.23640014750179222,0.19918175738011012
greber-lucie,drama,-60,0.12968973160992645,0.08769928835138928,0.11510847447231076,0.03947691348835109,0.06871124174020211,0.07240655211033069,0.365082054255005,0.044384946455102416,0.020893119631070343,0.2756621462856078,0.11338302603433065
greber-s-teschtament,comedy,-89,0.07045691809047193,0.051781679616197875,0.06354177862238408,0.06714253620565132,0.046372471992011825,0.06964871692516443,0.3702526145348718,0.05822122076786101,0.044654194815440355,0.19684160213345375,0.14686664262554555
greber-sainte-cecile,comedy,-72,0.10256014150757187,0.07641905817642407,0.09161667292736311,0.06044408187389695,0.0813413389164255,0.07240646550558015,0.44697914840293695,0.04980175879408981,0.031142506506970445,0.15608106748951117,0.10180363251058905
gunther-dr-cousin-refractaire,comedy,-142,0.12071184300371755,0.08858714048948144,0.10831102316047156,0.056781285979438934,0.19903185032943987,0.0478227644503965,0.273296906392841,0.02589301285017014,0.023368174436507433,0.3180846653289123,0.05572134023229384
hahn-jungi-madamme,comedy,-44,0.1408189746438915,0.1118940551915622,0.10598406486642258,0.020903525195397683,0.03644743718256945,0.026324026547321903,0.5717480615615669,0.016611941038316896,0.037843308973438246,0.17529392774885116,0.11482777175253783
hans-dich-hats,comedy,-9,0.3584618196985532,0.308610577286754,0.38186481477320555,0.17926700232312684,0.11350958747279531,0.23387097760498482,0.16183181712264175,0.009609810451020679,0.009833037235677793,0.13476596343946834,0.15731180435028458
hart-dr-poetisch-oscar,comedy,-9,0.07552708831035289,0.051621224757906904,0.06293765552263719,0.054760589450553204,0.06548820140101194,0.047253749673862304,0.3465698665324706,0.054976267402327014,0.04007818771776437,0.24633588666340192,0.1445372511586087
horsch-d-madam-fahrt-velo,comedy,-17,0.120061749633469,0.10508361439262222,0.10991457022426283,0.12713130816939158,0.06925934371788606,0.04149389822851454,0.3327033668742085,0.0511888674276718,0.025254091568604746,0.22316401152777898,0.1298051124859437
horsch-neui-hosse,comedy,-12,0.10891315098904382,0.08503622057917026,0.09825173610903655,0.05801843758770778,0.07439295715036531,0.06516713272814506,0.31450938143790963,0.048325604985265044,0.03334992680216781,0.26760212379195103,0.1386344355164883
huck-a-gelungener-patient,comedy,-6,1.4406949085745808,1.143389916540807,1.809237960146096,0.008697440725881057,0.006866064127646,0.010082975530148025,0.05109300292500578,0.009753497328651606,0.0023573863668340193,0.9066080596906233,0.004541573305210179
