word,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
Sozialist,0.448,0.4,0.543,0.25,0.422,0.318,0.0,0.125,0.0,0.0,0.0
Stiege,0.7172810980648257,0.6106401804657996,0.6905074662201768,0.0,0.0,0.0,0.531,0.0,0.0,0.0,0.0
steigen,0.7172810980648257,0.6106401804657996,0.6905074662201768,0.0,0.0,0.0,0.531,0.0,0.0,0.0,0.0
niesse,0.3602699167177921,0.5121015296924992,0.3409290138065038,0.0,0.312,0.0,0.0,0.0,0.477,0.0,0.0
Niese,0.3602699167177921,0.5121015296924992,0.3409290138065038,0.0,0.312,0.0,0.0,0.0,0.477,0.0,0.0
niese,0.3602699167177921,0.5121015296924992,0.3409290138065038,0.0,0.312,0.0,0.0,0.0,0.477,0.0,0.0
niesen,0.3602699167177921,0.5121015296924992,0.3409290138065038,0.0,0.312,0.0,0.0,0.0,0.477,0.0,0.0
durichschlupfe,0.3126966221345176,0.7024483702851683,0.4107903733172939,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
schlich,0.3126967468948703,0.7024482027986672,0.4107902229212522,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
Schlich,0.3126967468948703,0.7024482027986672,0.4107902229212522,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
schliche,0.3126967468948703,0.7024482027986672,0.4107902229212522,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
Schlicher,0.3126967468948703,0.7024482027986672,0.4107902229212522,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
schleichen,0.3126967468948703,0.7024482027986672,0.4107902229212522,0.409,0.0,0.266,0.0,0.0,0.656,0.0,0.0
Schlange,0.176,0.662,0.606,0.0,0.0,0.802,0.0,0.0,0.0,0.0,0.0
Schlang,0.176,0.662,0.606,0.0,0.0,0.802,0.0,0.0,0.0,0.0,0.0
falsche,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
Fälsche,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
falschi,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
Falschi,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
falsch,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
falschen,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
falscher,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
flasch,0.2622920797418359,0.5357194852850767,0.4426946189139666,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
Hinterlischtig,0.4133505917733981,0.6154768349242499,0.6098270463833537,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
hinterlischti,0.4133505917733981,0.6154768349242499,0.6098270463833537,0.375,0.328,0.156,0.0,0.0,0.0,0.0,0.0
witzig,0.8310188024492712,0.6592342395111799,0.5706539393939335,0.0,0.0,0.0,0.7114843956253177,0.0,0.4174318101021136,0.5821419542938574,0.5046474038397687
g’schickt,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
g'schickt,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
gschickt,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
geschickt,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
geschickte,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
g'schickte,0.8088109111764948,0.6521682869372487,0.8441183503445996,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0
üsretsche,0.357,0.64,0.44,0.25,0.0,0.266,0.0,0.312,0.0,0.0,0.0
schleudra,0.357,0.64,0.44,0.25,0.0,0.266,0.0,0.312,0.0,0.0,0.0
schlüdere,0.357,0.64,0.44,0.25,0.0,0.266,0.0,0.312,0.0,0.0,0.0
schleudere,0.357,0.64,0.44,0.25,0.0,0.266,0.0,0.312,0.0,0.0,0.0
verzerrt,0.2277989571018107,0.4842828905914562,0.2919544077144096,0.0,0.5545005460519896,0.0,0.0,0.7030000000000001,0.0,0.0,0.0
Verleumdunga,0.156629964984456,0.6479875562749813,0.4290737181108439,0.4828223987050334,0.609,0.348,0.0,0.0,0.0,0.219,0.0
Sirene,0.6417412360558654,0.6255283849014183,0.4823406188170178,0.0,0.0,0.547,0.0,0.0,0.0,0.0,0.0
sindiger,0.17,0.7,0.422,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0
sündigen,0.17,0.7,0.422,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0
inzelon,0.6835866000566424,0.3326342320062663,0.5699680325685011,0.0,0.0,0.0,0.375,0.0,0.3680916754205187,0.0,0.0
einzelnen,0.6835866000566424,0.3326342320062663,0.5699680325685011,0.0,0.0,0.0,0.375,0.0,0.3680916754205187,0.0,0.0
einzeln,0.6835866000566424,0.3326342320062663,0.5699680325685011,0.0,0.0,0.0,0.375,0.0,0.3680916754205187,0.0,0.0
einzelne,0.6835866000566424,0.3326342320062663,0.5699680325685011,0.0,0.0,0.0,0.375,0.0,0.3680916754205187,0.0,0.0
Einzelne,0.6835866000566424,0.3326342320062663,0.5699680325685011,0.0,0.0,0.0,0.375,0.0,0.3680916754205187,0.0,0.0
einzige,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
einzig,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
einzigen,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
einzich,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
Einzig,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
einzigi,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
einzi,0.7288429263733409,0.3389434022077929,0.6051251283094582,0.0,0.0,0.0,0.375,0.0,0.3680949519332998,0.0,0.0
Schlachthaus,0.146,0.794,0.472,0.788,0.867,0.859,0.0,0.703,0.0,0.0,0.0
Schlaahüß,0.146,0.794,0.4719999999999999,0.788,0.867,0.859,0.0,0.703,0.0,0.0,0.0
Schlaghaus,0.146,0.794,0.4719999999999999,0.788,0.867,0.859,0.0,0.703,0.0,0.0,0.0
Schnäck,0.3762262560544498,0.2393128229878253,0.2268175040362998,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0
Schnake,0.3762262560544498,0.2393128229878253,0.2268175040362998,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0
Schnecke,0.3762262560544498,0.2393128229878253,0.2268175040362998,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0
Schneck,0.3762262560544498,0.2393128229878253,0.2268175040362998,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0
Unterhosse,0.4126200555180419,0.5685504267229078,0.3061027335455472,0.0,0.0,0.0,0.0,0.0,0.461,0.0,0.0
Unterhose,0.4126200555180419,0.5685504267229078,0.3061027335455472,0.0,0.0,0.0,0.0,0.0,0.461,0.0,0.0
schlimmeri,0.2492251403211742,0.4036998129051011,0.3014470441494197,0.0,0.7289632857363698,0.0,0.0,0.0,0.0,0.0,0.0
Schlitte,0.6203733956677064,0.5114340744748914,0.3494256239716954,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.0
