"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
228,"tale","Charele ","M","","",NA,"
          
Alle:

          
(lachen)

        
",114,"weber-am-wihnachtsowe-bym-e-kriejsblinde",4,1,0.25,0.00651142314441477,0.361959516905741,-0.625972104287854,0.311319983886201,-0.238003455949079,-0.41831098028218,-0.319820726190152,0.420649552430241,0.933021816231615,1,0.0165332512060292
229,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
(geht an den Tisch und bückt sich)

          
D'r Hans- trapp? ? Ja der isch jo gar nit do g’sin.

        
",114,"weber-am-wihnachtsowe-bym-e-kriejsblinde",22,1,0.0454545454545455,0.00651142314441477,0.361959516905741,-0.625972104287854,0.311319983886201,-0.238003455949079,-0.41831098028218,-0.319820726190152,0.420649552430241,0.933021816231615,1,0.0165332512060292
232,"tale","Charele ","M","","",NA,"
          
Charele:

          
(sieht Paul)

          
Dort steht er jo. 
(lauft schnell hinter Grand'mère)

        
",116,"weber-am-wihnachtsowe-bym-e-kriejsblinde",15,1,0.0666666666666667,0.0892788361512498,0.167176347802125,-0.690650956985858,0.471448655995725,-0.220883561595916,-0.400195608740619,-0.458381509742317,0.524956510077333,0.842402546921485,0.987116905281352,0.0019798115572851
234,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Nein. Awer er kann, ne jetzt emol spiele. Paul, hole sie alli Sache wo im Auto leje, eruff.

        
",117,"weber-am-wihnachtsowe-bym-e-kriejsblinde",19,2,0.105263157894737,0.0892788361512498,0.167176347802125,-0.690650956985858,0.471448655995725,-0.220883561595916,-0.400195608740619,-0.458381509742317,0.524956510077333,0.842402546921485,0.987116905281352,0.0019798115572851
236,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Ich bin nämlich by minere Schwechder wo hy g'hyrot isch, üewer Wihnachte. Ich hab grad Inkeif gemacht un bin jetzt durich des Accident vum Jeanne do here kumme. Wie geht’s dir sunscht Albert, was machsch? ?

        
",118,"weber-am-wihnachtsowe-bym-e-kriejsblinde",37,5,0.135135135135135,0.0892788361512498,0.167176347802125,-0.690650956985858,0.471448655995725,-0.220883561595916,-0.400195608740619,-0.458381509742317,0.524956510077333,0.842402546921485,0.987116905281352,0.0019798115572851
237,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
Ich hab noch’m Kriej Klavierstimmer gelehrt, will ich uff mim Handwerik nimmi schaffe kann.

        
",118,"weber-am-wihnachtsowe-bym-e-kriejsblinde",16,2,0.125,0.192724249097664,-0.0410896997888459,-0.722226859139638,0.622924874548823,-0.175547910282181,-0.360994816396806,-0.586095944520598,0.630708966178907,0.716090781664108,0.959486395432095,-0.00919209378682406
240,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
..... un emol gar nix, gäll. Dess hœrt jetzt uff. Ich sorig vun hyt an füer dich. Wer weiss wo ich wär, wenn düe nit wärsch g’sin.

        
",120,"weber-am-wihnachtsowe-bym-e-kriejsblinde",27,2,0.0740740740740741,0.192724249097664,-0.0410896997888459,-0.722226859139638,0.622924874548823,-0.175547910282181,-0.360994816396806,-0.586095944520598,0.630708966178907,0.716090781664108,0.959486395432095,-0.00919209378682406
241,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
Loss „Kleiner“ ..... nein.

        
",120,"weber-am-wihnachtsowe-bym-e-kriejsblinde",6,2,0.333333333333333,0.192724249097664,-0.0410896997888459,-0.722226859139638,0.622924874548823,-0.175547910282181,-0.360994816396806,-0.586095944520598,0.630708966178907,0.716090781664108,0.959486395432095,-0.00919209378682406
242,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Doch Albert ....... loss düe numme diner „Kleiner“ mache. Ich denk mir, dass düe mit dinere Pen- sion un mit dem was düe verdiensch mit 4 Persone in däne Zyte nit läwe kannsch. Ich hab noch ebs quitt zu mache. Vor alle Dinge bekummsch düe emol e Woh- nung in eim vun de Hiser vun mine Eldere. S’andere wo no noch ze mache isch, wur ich no schun sähn.

        
",121,"weber-am-wihnachtsowe-bym-e-kriejsblinde",74,5,0.0675675675675676,0.307424420270595,-0.251458572245107,-0.721590984813603,0.757812248682392,-0.107841281778423,-0.305461523155027,-0.693539618470911,0.731865722434624,0.558443526450716,0.91639610025153,-0.0160135304308617
244,"tale","Charele ","M","","",NA,"
          
Charele:

          
(will wieder unter den Tisch, sobald Paul herein kommt)

          

        
",122,"weber-am-wihnachtsowe-bym-e-kriejsblinde",12,1,0.0833333333333333,0.307424420270595,-0.251458572245107,-0.721590984813603,0.757812248682392,-0.107841281778423,-0.305461523155027,-0.693539618470911,0.731865722434624,0.558443526450716,0.91639610025153,-0.0160135304308617
245,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
(hält Charele zurück)

          
Düe brüesch doch kein Angscht ze han.

        
",122,"weber-am-wihnachtsowe-bym-e-kriejsblinde",13,2,0.153846153846154,0.307424420270595,-0.251458572245107,-0.721590984813603,0.757812248682392,-0.107841281778423,-0.305461523155027,-0.693539618470911,0.731865722434624,0.558443526450716,0.91639610025153,-0.0160135304308617
247,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Do Madame Braun, ebs füer ihri Kinder. Miner neveu un mini nièce bekumme anderi Sache. 
(gibt Grand'mère Geld)

        
",123,"weber-am-wihnachtsowe-bym-e-kriejsblinde",21,5,0.238095238095238,0.423352461100938,-0.452446154155941,-0.69115316729697,0.868644839128596,-0.0250471258043756,-0.239150897541629,-0.772506919222044,0.822730180649741,0.375637403030359,0.857537332734357,-0.0179268478395885
248,"tale","d'Grand-mère oder Grand-père","B","","",NA,"
          
Grand'mère:

          
(will es nicht annehmen)

        
",124,"weber-am-wihnachtsowe-bym-e-kriejsblinde",7,1,0.142857142857143,0.423352461100938,-0.452446154155941,-0.69115316729697,0.868644839128596,-0.0250471258043756,-0.239150897541629,-0.772506919222044,0.822730180649741,0.375637403030359,0.857537332734357,-0.0179268478395885
249,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Doch doch Madame Braun; sie müens nämme.

        
",124,"weber-am-wihnachtsowe-bym-e-kriejsblinde",8,1,0.125,0.423352461100938,-0.452446154155941,-0.69115316729697,0.868644839128596,-0.0250471258043756,-0.239150897541629,-0.772506919222044,0.822730180649741,0.375637403030359,0.857537332734357,-0.0179268478395885
252,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
„Kleiner“ nein, ich kann dess nit annämme.

        
",126,"weber-am-wihnachtsowe-bym-e-kriejsblinde",10,2,0.2,0.530709194608699,-0.633252896375375,-0.634571698043972,0.948961912229077,0.0646812360882136,-0.168037031950344,-0.816546807310202,0.898311898526848,0.175349442124363,0.783041572778522,-0.0148202685968289
253,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Albert, ich hab gar kein Zyt, füer mit dir ze disch- betiere. Ich müess unbedingt glich furt. Ich kumm morje wieder, no redde mir mitnand.

        
",126,"weber-am-wihnachtsowe-bym-e-kriejsblinde",27,2,0.0740740740740741,0.530709194608699,-0.633252896375375,-0.634571698043972,0.948961912229077,0.0646812360882136,-0.168037031950344,-0.816546807310202,0.898311898526848,0.175349442124363,0.783041572778522,-0.0148202685968289
255,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Nein Madame Braun, 
(zeigt auf Braun)
 dort steht der, wo ellein e „Merci“ verdient.

        
",127,"weber-am-wihnachtsowe-bym-e-kriejsblinde",19,2,0.105263157894737,0.530709194608699,-0.633252896375375,-0.634571698043972,0.948961912229077,0.0646812360882136,-0.168037031950344,-0.816546807310202,0.898311898526848,0.175349442124363,0.783041572778522,-0.0148202685968289
257,"tale","Henri Greiner ","M","","",NA,"
          
Henri:

          
Aurevoir Albert! ich kumm morje wieder un no fiere mir Wihnachte do by dir. 
(umarmt Braun)
 Amüesiere euch hyt Owes güet.

        
",128,"weber-am-wihnachtsowe-bym-e-kriejsblinde",24,5,0.208333333333333,0.620714623161932,-0.784493510520252,-0.556428460794721,0.993784958367294,0.152930563972869,-0.0981143660033456,-0.821383629722124,0.9546351978919,-0.0336509033633452,0.693501541863098,-0.00703078428011539
258,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
Aurevoir „Kleiner“.

        
",129,"weber-am-wihnachtsowe-bym-e-kriejsblinde",5,1,0.2,0.620714623161932,-0.784493510520252,-0.556428460794721,0.993784958367294,0.152930563972869,-0.0981143660033456,-0.821383629722124,0.9546351978919,-0.0336509033633452,0.693501541863098,-0.00703078428011539
260,"tale","Charele ","M","","",NA,"
          
Charele:

          
Adjé Hanstrapp ! ! Grand’mère: 
(geht mit Jeanne an die Türe, machen sie zu)

        
",130,"weber-am-wihnachtsowe-bym-e-kriejsblinde",15,1,0.0666666666666667,0.620714623161932,-0.784493510520252,-0.556428460794721,0.993784958367294,0.152930563972869,-0.0981143660033456,-0.821383629722124,0.9546351978919,-0.0336509033633452,0.693501541863098,-0.00703078428011539
261,"tale","Charele ","M","","",NA,"
          
Charele:

          
 
(geht ängstlich hinter Grand'mère her)
 

        
",130,"weber-am-wihnachtsowe-bym-e-kriejsblinde",8,1,0.125,0.686296516104263,-0.898813876865057,-0.461876209876696,1,0.231633549787568,-0.03501093224073,-0.785195183454437,0.988974324021618,-0.241974218388677,0.589975918549317,0.00468417785848785
262,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
Mame, Mame!! Grand’mère: 
(geht zu Braun)
 Was myn Büe ??

        
",131,"weber-am-wihnachtsowe-bym-e-kriejsblinde",12,2,0.166666666666667,0.686296516104263,-0.898813876865057,-0.461876209876696,1,0.231633549787568,-0.03501093224073,-0.785195183454437,0.988974324021618,-0.241974218388677,0.589975918549317,0.00468417785848785
263,"tale","Albert Braun ","M","","",NA,"
          
Braun:

          
Wenn numme noch s’Madeleine läwe dät! ! !

        
",131,"weber-am-wihnachtsowe-bym-e-kriejsblinde",8,1,0.125,0.686296516104263,-0.898813876865057,-0.461876209876696,1,0.231633549787568,-0.03501093224073,-0.785195183454437,0.988974324021618,-0.241974218388677,0.589975918549317,0.00468417785848785
264,"tale","d'Grand-mère oder Grand-père","B","","",NA,"
          
Grand'mère:

          
Ja, ja s’Madeleine! Awer lüej dess isch sicher au so zefriedde wenn es weiss, dass es uns wieder besser geht. Wihnachte het füer uns e grossi Ande- rung gebrocht. Due derfsch de Müet nit verliere, denn es gibt doch noch gueti Lyt uff de Wält, wo helfe, wenn sie könne. 
(zu den Kindern.)
 Un au ihr Kinder,

        
",132,"weber-am-wihnachtsowe-bym-e-kriejsblinde",62,11,0.17741935483871,0.722622447227582,-0.971350454791906,-0.356284954375037,0.966615194848213,0.293627206944724,0.0163611420280831,-0.708729957335412,1,-0.440120152093233,0.473977379482099,0.0192037940626779
