drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch g'wiss kei G'spass... Se derf's glaüwe... awer
                        thàt Se nur z'erst lose... Se müess wisse, ass im
                        Frankrich e-n-àime ne lewendig G'schöpf ummelaüft, wo
                        sich mi Oncle nennt un wo famos rich isch, während ass
                        ich, si Neveu, hinte-n-un vorne nit ha... das isch jetz
                        doch g'wiss nitt recht, nitt wohr?...
",61,5,0.7188571071727274,0.08196721311475409
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Jà, hat er Ihne denn noch nie nit gà, Herr Liftling?
",13,3,0.5749218533872401,0.23076923076923078
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Doch, awer wenig genüe.... er isch eso gizig..
",10,1,0.578708951845571,0.1
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ah... 's isch e Gizhals?...
",7,1,0.6149010952367124,0.14285714285714285
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Er isch als z'erst mit mir do z'Milhüse g'wohnt...
                        no-n-em Krieg si mr üsg'wandert ins Frankrich, wo's mir
                        awer nitt g'falle hat... drum bin i wieder z'ruck ku
                        züe mi'ne Kamerade z'àmme... Am Afang hat er mr derno
                        als màngmol noch ebbes g'schickt, awer allewil
                        seltener... un z'letscht gar nit meh.
",61,9,0.5255011680962722,0.14754098360655737
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Se werde-n-'m z'vielmol z'Hof g'ritte si... nitt
                        wohr?...
",14,3,0.6756528326294614,0.21428571428571427
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch viellicht möglig.... enfin, wo-n-i g'sàh ha, ass
                        nit meh z'mache-n-isch, so ha-n-ich's anderscht
                        agriffe... z'erst ha-n-ich 'm g'schriwe, ass mich uf
                        eimol d'Liewe-n-apackt hat un ass ich durehüs ha miesse
                        hirothe... uf das hi hat er mir derno endlig wieder
                        ebbes g'schickt fir d'Eh'stir... ne zitlang nochher
                        ha-n-ich 'm derno ne Kind azeigt, e Biewle, un später e
                        Màidele... denn allemol hat er in Sack g'làngt... das
                        Ding isch pràchtig gange... mine Kinder hàn mich
                        erhalte... awer dà Morge bekumm i jetz e Depesche,
                        wo-n-er mir drin sàit, ass er z'Milhüse dure reist, fir
                        in d'Schwiz, un ass er profetiere will derno, fir mi
                        Fraü un mine Kinder lehre z'kenne!...
",136,19,0.6547614471033393,0.13970588235294118
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ich begrif Ihre Verlegeheit!...
",6,1,0.6149010952367124,0.16666666666666666
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling
(steht uf)
Er, wo vo de Rhumetisse nimmig züer Stuwe-n-üse hat
                        känne geh!... Versteht Se jetz, Jumpfer Fingerhüet,
                        worum ass Sie sott mi Fraü si fir hit!

            

            
",33,4,0.5823551256739077,0.12121212121212122
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.8004800063959762,1.0
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Das ka-n-ich nitt unternàh, Herr Liftling, gehn froge
                        Sie liewer d'Fraü Strumpf dunte.
",18,3,0.7053813616892207,0.16666666666666666
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Das geht nitt... d'Fraü Strumpt isch scho, ne wenig
                        z'alt... un derno, do isch's kummod... mi Zimmer isch
                        newe-n-Ihrern... we mr sàlle Thüre-n-ufmache, so...
",33,1,0.578708951845571,0.030303030303030304
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(unterbricht ne)
Das Ding schint mr eso ziemlig g'wogt...
",13,3,0.5269902589096082,0.23076923076923078
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Oh! nur am Tag... Jumpfer Fingerhüet... also isch's
                        üsg'macht, nitt wohr?...
",14,3,0.6723883909300344,0.21428571428571427
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Jà, un Ihre zwei Kinder?
",7,2,0.7109199592507616,0.2857142857142857
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
O, d'Kinder, das isch mir e Kleinigkeit!... do isch jo
                        scho eins!...
",15,2,0.6928238875551909,0.13333333333333333
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Was wànn Sie mit dem mache?
",8,1,0.6149010952367124,0.125
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Me wickelt's i, legt's ins Bett un deckt's güet züe...
                        me sàit 's isch krank..... s Andere isch noch bi dr
                        Nourrice... das geht ganz güet... also zähl ich uf
                        Se... ich gang jetz geh mi Oncle abhole an dr Gare...
                       
",46,7,0.6498159275225251,0.15217391304347827
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ich find, Se fange ne wenig z'frieih a, Herr Liftling!
",13,4,0.4704971447386833,0.3076923076923077
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch nur fir mich z'g'wohne, liewe Fraü... ich gang
                        jetz... rischt e Sach siter
",18,4,0.6447633613610743,0.2222222222222222
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(allei)
Isch das e possiger Held... me ka-n-'m nitt widersteh...
                        enfin, wil er uf mich zählt, so will ich emol die
                        Thüre-n-ufmache... 's sott e-n-àime ne Schlissel si
",38,5,0.6256545096351612,0.13157894736842105
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf
(kunnt hinte-n-ine)
Tiens... was sieh-n-i... d'Jumpfer Fingerhüet im Herr
                        Liftling sim Zimmer!
",21,2,0.5968050235411417,0.09523809523809523
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(kunnt ine rechts)
Ah, Sie isch's... Fraü Strumpf...
",13,1,0.6149010952367124,0.07692307692307693
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf.
Ich weiss nitt, eb dr Propriétaire das lide thàt... he
                        he...
",13,1,0.2151930567351618,0.07692307692307693
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
's isch jo nur fir e Farce z'spiele im Oncle vom Herr
                        Liftling... er hat em ewe g'schriwe frieiher, ass er
                        Fraü un Kinder hat...
",28,6,0.5614991448788121,0.21428571428571427
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf.
Das isch mr schön Dings, jà jà!...
",9,1,0.762431221612974,0.1111111111111111
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Er kunnt ewe hit uf B'süech... un do wà mr em mache
                        z'glaüwe...
",16,2,0.6644505476183562,0.125
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf.
So so... ich verstand dr Rest... Sie will als im Herr
                        Liftling sie Fraü passiere... das isch e süfere
                        G'schichte... un Se geht das Ding eso i?
",29,3,0.6896026980147942,0.10344827586206896
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ich ha z'erscht lang nitt welle... awer er hat mr kei
                        Rüeh g'lo... 's isch ewe wege-n-em erwe... si Oncle
                        isch rich...
",26,3,0.6198333507078303,0.11538461538461539
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf.
Wenn's fir z'erwe-n-isch, so ha-n-ich nit dergege...
                        denn dr Herr Liftling isch mr noch allewil vieresechzig 
",24,3,0.5397025882312774,0.125
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Eh... 's isch noch alle Zit, Fraü Strumpf... ich halt
                        gar nitt dra, si Fraü z'spiele...
",19,5,0.5893135293779641,0.2631578947368421
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf
(bim Fenster)
Tiens... do sin se glaüb'... i sieh se vo witem dert in
                        d'Gasse ku... dr Herr Liftling mit eme-n-Alte..
",28,3,0.526328342998955,0.10714285714285714
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Scho!... eh bien, Fraü Strumpf, will Se mi Platz
                        nàh?...
",12,2,0.7194067846879618,0.16666666666666666
unknown,Fraü STRUMPF,F,,,"Fraü Strumpf.
Nei, nei... dr Herr Liftling wàr jo nitt preveniert...
                        awer wenn Sie's kännte-n-arrangiere mit em, so bin ich
                        g'ristet... Se derf mr's nur ku sage... au revoir
",33,2,0.5432362870455969,0.06060606060606061
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(allei)
's isch sunderbar... 's isch mr jetz doch nitt ganz
                        recht... ich hätt glaüb das Ding nitt sotte-n-igeh..
",25,6,0.5803975516782302,0.24
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling
(macht d'Thüre-n-uf hinte)
Do si mr jetz aku... gang nur ine, Oncle... gang nur
                        ine...
",22,3,0.6588357371201937,0.13636363636363635
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ouf!... endlig!... ich ha g'meint, 's nimmt kei End mit
                        dàne Stege... De hasch mr doch g'schriwe in eim vo Dine
                        Briefe, ass De-n-im erste Stock wohnsch!...
",31,2,0.5031302356164982,0.06451612903225806
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling
(fir sich)
Im erste, we me vom Himmel owe-n-awe kunnt!...
",16,3,0.6132796584781879,0.1875
unknown,Herr GIGELE,M,,,"Herr Gigele.
's isch nur schad, ass me nimmig schnappe ka, we
                        me-n-ufe kunnt!...
",16,3,0.3916707116761586,0.1875
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Dü hasch also ne güete Reis g'macht, Oncle?
",10,4,0.7374005693895285,0.4
unknown,Herr GIGELE,M,,,"Herr Gigele
(sieht d'Jumpfer Fingerhüet)
Wer isch denn die junge Person dert?...
",15,3,0.6183329934641913,0.2
